date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-04-03,306,112107983.2339756473188472,2887266.7,2887322.166994272334028,2.7686689,10.323609972131534,0.00020160752509563033,1.00001921090084,,0.03681414212921249,112105829.58,112105829.58,112105826.9230032412146234,587,583,40490876.207682334,40491654.07389008450056469376,85817.85109843,85819.4997366577538238096812,5500,5500.10565995462,50031807.190387061278971364,50032768.34647384180380681332,,0.0005728920347672768,0.0006547820763950798
2019-04-04,217,110890004.47540340515932456,252443.98,252048.26436684430876404,9.40148291,10.277702449597468,0.00020329416262730794,0.998432461597398,,-0.12461769282971653,111064101.72,111064101.72,111064099.0183510512146234,311,313,11813466.319223937,11794948.25710070818119069852,45788.95967337,45717.18372066679819452189126,1999.2,1996.0661772255180816,14331944.377763883780582473,14309478.50456778306735233117,,0.0006430419355650231,0.0006858420181573046
2019-04-05,179,107798719.37922618681650175,50317.3,50313.0004039725759675,11.83036589,10.003778976204032,0.00019866277669904119,0.999914550342975,,-0.013342655290882183,107807931.53,107807931.53,107807928.8177822112146234,296,304,9112814.641986893,9112035.955101202821828604627,37478.30434289,37475.10183463802148150269775,2033.35,2033.17625093988821625,11393404.520237123102083597,11392430.95772852175524285125,,0.0006974410183478721,0.0007084045031298505
2019-04-06,142,107947947.20169373812092922,198191.41,198084.65742626754403483,64.18799981,10.0578638314448,0.0001981345485299034,0.999461366293663,,-0.0409550116843368,108006122.94,108006122.94,108006120.2277822112146234,213,219,1682652.883055876,1681746.549496996974883453714,11469.16181523,11462.98413809288387032588749,900,899.5152296642967,2511746.437536271227329965,2510393.526243242309499917369,,0.0007016096142892876,0.0007091464575161239
2019-04-07,134,107968427.4019995784361844,0,0,29.31775852,10.290723011958589,0.00019278288800797532,1.00037198899372,,0.09987762391554089,107928279.27,107928279.27,107928276.5537767912146234,223,222,3681327.7932566227,3682697.206677989699279898709,25569.74536589,25579.2570297383340543122108,4000,4001.48795597488,5676483.471227439829886221,5678595.060601769937801792223,,0.0007151067267901237,0.0007185241857711131
2019-04-08,247,106719825.237734925280014,356522,356612.15244071097834,4.08928229,10.177049322138373,0.0001893190951613036,1.00025286641697,,0.06191333551435775,106692846.2,106692846.2,106692843.4678992412146234,468,466,26090848.872876372,26097446.37234656201120541283,71988.44832918,72006.6517901722297296981846,2444.1915,2444.809553946993529755,33546616.921396979506868961,33555099.73421935833320384347,,0.0007143082306360571,0.0007173349386736727
2019-04-09,225,110943724.5987637111414785,4551172.55,4550099.95259894886602125,9.72356308,10.831056898996872,0.00019242600969248625,0.999764325041675,,-0.051902147455991504,110969877.42,110969877.42,110969874.6668413312146234,332,332,11412470.561438277,11409780.92791432474471596519,51628.06191904,51615.894477698829728475992,2467.934,2467.35236975740114945,17140516.55712226755036954,17136476.96659699878748267716,,0.0007099629926762398,0.0007197116264204754
2019-04-10,187,110440856.40442649120706354,1230509.58,1230180.35686522713351108,10.20098516,11.122375937652397,0.00018821180027712945,0.999732449758926,,-0.012822243833565792,110470412.79,110470412.79,110470410.0136805112146234,344,340,10829386.673688002,10826489.26867277321209223861,36122.8420903,36113.1774151904622009230178,2438.65501823,2438.00255549197624363522098,12281766.310701975725428124,12278480.32116473288023661761,,0.0007058392240249408,0.0007181815790677862
2019-04-11,210,107459989.0807292660039229,973733.47,973926.0547950488384349,4.64637019,10.933503504895087,0.0001980328491494541,1.00019777978367,,0.020962973222494987,107438739.87,107438739.87,107438737.0637131612146234,342,338,23123155.38174277,23127728.67441193888131818657,77101.77438769,77117.0235599489704749110223,2556.35,2556.8555943499848045,26060399.743039963999994058,26065553.96326349616766214141,,0.0007106925661122635,0.0006752641351322194
2019-04-12,145,107751682.5079576481379468,2248916.36,2249408.5896744375549168,11.22186663,10.936836367733157,0.00019678263661789317,1.00021887415788,,0.06635936399625436,107728103.61,107728103.61,107728100.8037131612146234,192,189,9599838.1709136,9601939.327409042993710239168,66832.33805365,66846.965925360644122010262,5002.4,5003.494896087378912,12631311.892140558533605253,12634076.5598938704277448887,,0.0007058246804422137,0.0006033000610564518
2019-04-13,116,107779552.05057803832231516,142651.63,142531.02007562063314317,32.13135911,10.959633980419815,0.00019688585692477056,0.999154514221959,,-0.10318028096630108,107870755.24,107870755.24,107870752.4317131612146234,124,124,3357179.9704076606,3354341.522488356817721662339,39036.39480403,39003.39008739719904572769477,1492.45,1491.18815475056270955,4840512.955699721067322216,4836420.370837253748090044397,,0.0007230682432271935,0.0006148224006986979
2019-04-14,109,110301005.52031778525372652,2481306.23,2480158.21840567662328668,16.55448844,11.289689088876754,0.0001938288381551212,0.999537335786916,,-0.10885454603592763,110352061.47,110352061.47,110352058.6617131612146234,150,149,6665990.42539439,6662906.310179799426140301801,69991.32123521,69958.93875564800210647651236,5673.955833,5671.330696689451683281028,10428706.864046436184655255,10423881.87459169843088584685,,0.0007218568065645868,0.0006150907189307847
2019-04-15,156,109180379.4897549378930235,977048.06,977235.985458594458533,8.94261681,11.245906511273784,0.00019833682773459844,1.00019234003555,,0.05027818687919232,109159383.77,109159383.77,109159380.9377421612146234,212,208,12206648.910917502,12208996.7382029742411177972,72799.71267094,72813.714970263158385051917,5330.9,5331.925345495513495,15142340.235556074481466899,15145252.71381529153220668279,,0.0007118237047680272,0.0006083825383333414
2019-04-16,155,109438372.94669562301854868,2645103.68,2644775.62692443228408288,10.53667252,11.376530461936621,0.00019206359810963988,0.999875977233691,,-0.049106742269022896,109451947.48,109451947.48,109451944.6477421612146234,204,201,10387714.651635235,10386426.3385285106679048847,68188.07575502,68179.61888123557476580637882,1997,1996.752326535680927,13705803.2267594056545675,13704103.39512873613466463584,,0.000703085816385974,0.0006094345522813477
2019-04-17,143,110412161.1600236087124744,1861046.1,1861150.033780913818062,10.45867644,11.567465313190507,0.00019134872771485334,1.00005584696742,,0.03803345502190479,110405995.32,110405995.32,110405992.4728421612146234,198,195,10556402.22857048,10556991.77162181139098973376,73040.82301117,73044.9021196330347972860814,3778.62255286,3778.8335774706020496478212,14242960.487177368940619417,14243755.91332766068247040509,,0.0006921446595368034,0.0006065262472562858
2019-04-18,145,108274852.77386099230467416,45605.1,45599.2508279473622886,7.75493231,11.254361362314233,0.00018942337782680828,0.999871743027586,,0.021252168053281784,108288741.56,108288741.56,108288738.6976551712146234,237,233,13963853.87902482,13962062.91740306478676803868,64598.07397463,64589.78882123823834875414318,5021.05,5020.4060153286606853,15051351.236089012921198708,15049420.79534873242786722533,,0.0006930643330129518,0.0005972818515666885
2019-04-19,139,108118108.2914012308659837,143009.1,143082.639307089892683,30.25465921,11.319368768955037,0.0001891348684937688,1.00051422816513,,0.0739512138733335,108062539.49,108062539.49,108062536.6276551712146234,190,187,3571765.2189688594,3573601.921243684909239870953,24581.0477029,24593.687969957235268379877,1133.97790105,1134.5610244253549102003865,4596655.920441730000000039,4599019.650381432702077021895,,0.0007025165575535069,0.000598789197048786
2019-04-20,161,108667516.9465306228919578,1609513.1,1608942.097084891212046,7.14072327,11.21476994277106,0.00018811634594383703,0.99964523251466,,-0.1515066742839431,108706082.33,108706082.33,108706079.4652711712146234,207,205,15223399.406732459,15217998.63960660607765441535,78149.57010948,78121.8451830118577519049768,4998.8,4997.026588294282408,16020661.872443910431914488,16014978.2625179410899703615,,0.000671758231765248,0.0006096051677706982
2019-04-21,130,108721717.9839448278457889,0,0,11.09551271,11.164085858793404,0.0001888584031346259,1.00014383421433,,0.03765763441167608,108706082.33,108706082.33,108706079.4652711712146234,188,190,9797301.41384927,9798710.601000685207931494039,54237.16773671,54244.9688971188941071490543,5500,5500.791088178815,10305061.869973963922,10306544.09045165366771827664,,0.0006287276038827047,0.0006096422214866924
2019-04-22,172,105363376.45970486001039374,2124873.01,2124610.92597782494067446,6.67680436,10.707125341443552,0.0001857195036131024,0.999876658971646,,0.05396828120071051,105376373.69,105376373.69,105376370.7955946012146234,297,305,15782456.391941817,15780509.76754048273581228472,61561.53237383,61553.93931111996374504242418,2451.144,2450.841673378396263024,18776267.374017993540787064,18773951.48989143250232284359,,0.000625464817011904,0.0006080818000051063
2019-04-23,159,104576397.51738152616912,2363000,2364062.6117080608,6.22330588,10.53604467928495,0.00018042821608926866,1.0004496875616,,0.05704649181236121,104529391.95,104529391.95,104529389.0465122342146234,266,262,16796441.310265645,16803994.46100201586694830123,78111.41201739,78146.537747793233045896224,8877.6447,8881.63686639789416352,20465189.948554906172187419,20474392.88992055265738770675,,0.0006263784518986763,0.0006072335034743046
