date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-01-14,3345,4843,9132019,1885.61201734,782324045.273003,0.0006956334480284555,0,13.524505496569008,0,0,0,0,0,47.99040192,14.822076558081093,0.0021334489716595363,7.82324045273003,-95.51521241334592,41.27731531050707,100000000,100000000,52969463,19442,6321,2083750,16301677.2933762000125,589.12213257,4608.8440991202075520800771,34,265.99017539282102,3723841,29132503.55073464764523,0.06384150637170301,0.07551979338597159,0.07638019464698993
2019-01-15,3525,3520,30382244,8631.31931818,746081440.824779,0.0005807350985658477,0,16.711813931429344,0,0,0,0,0,6.20181577,13.888588141835003,0.002083273939323591,7.46081440824779,-96.08141374500985,32.357903295674014,100000000,100000000,52970323,28777,5919,16124310,120300484.3710539227749,3005.31981754,22422.1333960950513139082366,37,276.05013310516823,17788488,132716607.57134291344152,0.06384282527904067,0.07626821550317764,0.07653034107434038
2019-01-16,3437,4412,12258611,2778.47030825,759668118.490782,0.0005114008829759763,0,18.1695619712536,0,0,0,0,0,91.80569875,14.204635578161225,0.0021061018735456473,7.59668118490782,-94.71368423858397,17.290972920093157,100000000,100000000,52970323,35529,5748,1089257,8274738.15742913728974,457.18806541,3473.1119744645527149805062,34,258.28716028686588,2627917,19963447.62939940361094,0.06365370103137516,0.07227653053862886,0.0765934398761575
2019-01-17,3096,4774,9121303,1910.62065354,772171746.867147,0.00036582233230348445,0,8.480127485127445,0,0,0,0,0,92.53364523,14.55380310311792,0.0021212756997290665,7.72171746867147,-94.6378280246881,14.410192254933973,100000000,100000000,52970323,23181,5645,1080688,8344767.40778363357136,417.24729849,3221.8657535062120668370803,30,231.6515240601441,2355361,18187432.17872750225067,0.0636114217480412,0.07199292519184342,0.07662687714053877
2019-01-18,3127,5294,9714127,1834.93143181,754119024.775287,0.0005576774516163886,0,13.293915091631277,0,0,0,0,0,57.88172564,14.208174534187192,0.002089304146913085,7.54119024775287,-94.71999883312286,14.393153123471555,100000000,100000000,52970323,23838,5922,1727661,13028620.28462297113707,809.62242486,6105.5167347162627754243482,30,226.2357074325861,4794584,36156870.10283194645608,0.06359993363520088,0.0719949274483788,0.07175084474437457
2019-01-19,3337,4865,9479100,1948.42754368,795448190.042798,0.0007577088950775753,0,17.399269357665272,0,0,0,0,0,61.7392566,15.014203222468591,0.002157263490832193,7.95448190042798,-94.2895382096409,10.896676792070883,100000000,100000000,52970323,22963,6230,1619715,12883993.6513517056257,510.20850722,4058.4443361258683549200156,31,246.58893891326738,3178599,25284108.21421847680002,0.06374360141544612,0.07102326080978213,0.06967390254478865
2019-01-20,3206,4530,8663624,1912.49977925,746317166.782412,0.0005871801217331963,0,12.562131524359632,0,0,0,0,0,8.66089862,13.898617486990952,0.002109245321967015,7.46317166782412,-95.00487918817969,9.937864364537827,100000000,100000000,52982873,21394,6151,11546146,86170869.69976079184152,2175.70086165,16237.629028326805464652998,30,223.8951500347236,13382736,99877656.15316989239232,0.06371488511505922,0.07128718185055849,0.06979053227631316
2019-01-21,3332,4531,8204560,1810.76142132,743679854.059346,0.00042556491510708453,0,9.144113330906226,0,0,0,0,0,61.57404186,13.934672603126527,0.0021033910328861795,7.43679854059346,-94.34273587532871,6.054998048484641,100000000,100000000,52982873,21487,5508,1624061,12077814.47463475524106,600.80827887,4468.0901314768845309781902,31,230.54075475839726,3309252,24610240.44405598869192,0.06370434897424944,0.07108025237559039,0.06898000874500138
2019-01-22,3050,4680,8183943,1748.70576923,760069740.420534,0.0009270661434095339,0,17.03947571586705,0,0,0,0,0,59.31433811,14.26271217244184,0.0021246973033901225,7.60069740420534,-93.82854265867272,0.260079266200035,100000000,100000000,52982873,18380,5463,1685933,12814266.57676412148222,733.46824089,5574.8701545996800181443526,32,243.22231693457088,4006937,30455515.65471433244358,0.06371479651259178,0.06973532682694662,0.06901717530239765
2019-01-23,3137,5140,9439154,1836.41128405,745187989.7453,0.000728987114216861,0,14.690548325697414,0,0,0,0,0,55.58093752,13.976177915928792,0.0020980018752433174,7.451879897453,-93.95747042162442,-11.548767887387946,100000000,100000000,52982948,20152,5540,1799178,13407258.370139693634,702.59963899,5235.68812574731602049247,31,231.008276821043,3892402,29005712.216605852106,0.06370504499916886,0.06689607171294838,0.06651952463297958
