date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-02-20,85,60529559.196140934200448,9546016.09,9556617.510436722619504,1.11644138,4.052398625180573,0.00010413016673711106,1.0011105596656,,0.10019453722195343,60462412.08,60462412.08,60462412.07646403,213,213,54156369.88106121,54216513.76108643124915073138,358256.96463567,358654.830370514660701031952,34998.95,35037.81842220835112,76308733.46739787,76393478.86891978290700935227,,0.0005184529303586656,0.0004846513867800013
2020-02-21,85,59619244.802416714906048,0,0,2.73321046,3.9328235371600564,0.00010312919167281507,1.0005385342256,,0.01747993646693203,59587155.08,59587155.08,59587155.07598822,199,199,21801158.76411384,21812899.4342660546998946423,125676.4601085,125744.1411836206803394776,9250,9254.9814415868,25009615.56159151,25023084.09554052539294138466,,0.0005281397574792632,0.0004779206927060883
2020-02-22,52,59590972.8137663010555628,0,0,32.32077921,3.931193441679878,0.00010336313450883081,1.00006406974391,,0.006591285555382287,59587155.08,59587155.08,59587155.07598822,113,113,1843617.5282007395,1843735.648303639308582837621,20445.84478041,20447.1547404491044788848031,998.67,998.7339845311505997,2310380.46018659,2310528.485671008822772116167,,0.0005311444572804693,0.0004791433115272521
2020-02-23,56,59619797.9622683650243996,0,0,5.83083989,3.9338973249739864,0.00010032724623380435,1.00054781743187,,0.03799719832062252,59587155.08,59587155.08,59587155.07598822,127,127,10219309.087936651,10224907.40359669020814806847,84240.73770623,84286.8862508190611930995501,8505,8509.65918725805435,10698573.68869149,10704434.55385430092491252379,,0.0005376113698010699,0.00048235101969246446
2020-02-24,98,66351480.642734686293816,10016457.25,10020644.94986097744195,1.40535203,4.242286126475338,0.00010369167335462338,1.0004180819382,,0.02378110426230362,66323751.88,66323751.88,66323751.87728753,240,240,47193692.78874685,47213423.61929878464619714467,326878.40131829,327015.063273868868118309678,12251,12256.1219218248882,78450816.31638977,78483615.18572869841946825221,,0.0005382391426571682,0.0004821495170325052
2020-02-25,118,64893183.37509700339726032,136477.71,136451.54643159997597842,6.24674653,4.139939589672598,0.00010699674348741137,0.999808294201302,,0.04212091264193937,64905626.16,64905626.16,64905626.15530762,262,262,10390308.908646302,10388317.02617825101595710589,42730.05991727,42721.86831700514635884628554,4267.17,4266.35195876696985534,11195275.6983255153696,11193129.49905612356697487836,,0.0005298058072028736,0.00048478715036997735
2020-02-26,162,64818574.6614391884337824,1254332.5,1254589.3728825655891,3.03233848,4.110485059051103,0.00011367398706308832,1.00020478850908,,-0.005029098501598456,64805303.28,64805303.28,64805303.27343706,395,396,21371394.965746976,21375771.58185897114088355854,62617.07445591,62629.8977132307771610946628,2078.21,2078.6355935274551468,24796361.484538391847810764,24801439.49443741920054929799,,0.0005102368052819822,0.00048734270140854413
2020-02-27,126,69891693.2523383644094334,5681207.34,5681345.0995131926360814,2.51311566,4.380121493310694,0.00011391056953904171,1.00002424828121,,-0.10021882272773477,69889998.54,69889998.54,69889998.53039758,308,314,27810100.284014042,27810774.63114620707335800475,114099.9667612,114102.733489280077230517052,9995,9995.24236157069395,35827389.563017056452770763,35828258.31563420070937165623,,0.000489660962137308,0.0004839010009840282
2020-02-28,147,70397127.9893908950907896,4763332.28,4767270.5317997273733296,1.90153423,4.308098707181926,0.00011437244698909093,1.00082678502532,,0.08238472343513767,70338972.78,70338972.78,70338972.77280107,367,381,36990642.43044822,37021225.73968668119791164893,117799.5360354,117896.930927783712441416328,5022.10441325974,5026.256613984216637879636617,44881623.229485864498762269,44918730.68348405766941246025,,0.000475579861476506,0.0004839020235273351
2020-02-29,124,68257468.55414812577590548,0,0,3.45763863,4.126063197259004,0.00011648894453219202,0.999718640886114,,-0.015128395689395956,68276678.82,68276678.82,68276678.81738567,251,268,19746620.765613083,19741064.87389222721606759143,79525.74269824,79503.36740574329715890823936,2300,2299.3528740380622,21312899.04312700921370523,21306902.46473789322109430854,,0.0005183051736739537,0.0005047056289771115
