date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-09-06,1307,8636,5808666,672.6106994,474212362.6343635324069900273,0.14100112485938923,0.5342950966074371165616399189,0.1,0.378929669632248,250.7,949.976681768045736,34544,10.075095,130897.46507776374912,34544,130897.46507776374912,83.79059215,213.42300040316792,0.0005840401273332287,3.78929669632248,-46.34459032021527,6.179257710047106,125145218.39754263,1778,1721,1493547.36837842,5659494.108797480939054992882,867.83693688,3288.4916378660046038850624,4.97691759,18.8590173816562390244232,1493547.36837842,5659494.108797480939054992882,0.06912106116282843,0.08687673262311363,0.06890428840415742
2018-09-07,1429,8594,5963242,693.88433791,449167378.5062370276766022217,0.12449888641425311,0.4467249024884027442812549754,0.1,0.358818392159739,279.5,1002.897406086470505,34376,10.023265,123347.41048883187864,34376,123347.41048883187864,261.32211326,203.36304523042963,0.000559896685480336,3.58818392159739,-52.512754085767085,14.609112544360018,125179586.19754263,2245,2203,479024.0850170203,1718826.519915973449938914057,217.44170904,780.2208442619858484034056,4.9,17.582101215827211,479024.08501702,1718826.519915972373483737578,0.06910097938058764,0.08391499885704501,0.0691521227870316
2018-09-08,810,8610,5795036,673.05876887,422892429.3660451199493038537,0.18262218774243233,0.6167804743519758188356826771,0.1,0.337735782259861,235.4,795.030031439712794,34440,10.039325,116316.2034102961284,34440,116316.2034102961284,63.96793268,190.80081067378558,0.0005458099819834899,3.37735782259861,-53.28624131151653,1.1676241285110507,125213984.29754263,1289,1200,1957449.28835152,6611006.666354088276089543387,1631.20774029,5509.1722219518333137949969,2.92640883,9.8835297541221458497263,1957449.28835152,6611006.666354088276089543387,0.06915813475983683,0.0839480226134025,0.06908719693024165
2018-09-09,1081,8594,5816792,676.8433791,465892141.7245588018860327146,0.12517866959867624,0.4656314894759567656850802516,0.1,0.371973508720595,227.7,846.983679356794815,34376,10.01779,127869.6133577917372,34376,127869.6133577917372,164.32786549,211.5175342527386,0.0005952293928706896,3.71973508720595,-47.51928372116082,23.5565345227961,125248742.39754263,1819,1761,762188.0928492998,2835137.792022126907164395894,432.81549849,1609.9589960197868705440155,2.96116936,11.014765567551187149692,762188.0928493,2835137.792022127651111413335,0.06959535726243472,0.08336126157160342,0.07030499553149211
2018-09-10,2206,8637,6081540,704.12643279,445250202.495914085301098763,0.11658703071672523,0.4143448434211011697303228202,0.1,0.355395313590108,341.6,1214.030391223808928,34548,10.06524,122781.97293911051184,34548,122781.97293911051184,138.51130386,204.75703295892984,0.0005645327652131478,3.55395313590108,-47.98039303235327,22.0507178569733,125283082.09754263,2930,2858,904497.1681239201,3214540.547067652216137615424,316.47906512,1124.7517659302661071983296,1.9,6.752510958212052,904497.16812392,3214540.547067651860742301834,0.06840849158284658,0.08359581626739643,0.06996104858463935
2018-09-11,2684,8626,6108450,708.14398331,411666328.1712847125281848938,0.12291877317155636,0.4037867030925638090670969565,0.1,0.328498806711163,364.7,1198.035148075611461,34504,10.049545,113345.22826761968152,34504,113345.22826761968152,239.10661612,194.62879892444667,0.0005232185230587975,3.28498806711163,-51.849085530381615,15.789681594611945,125317450.09754263,2967,2917,524106.9951653715,1721685.225007978132992200921,179.70757462,590.3372381962728160948306,0.9,2.956489260400467,524206.99516537,1722013.723814684368510100253,0.06783219984364518,0.08484917654484125,0.07055063867901318
2018-09-12,3412,8602,6348819,738.06312485,401052141.649252864906068142,0.1228291677402793,0.3929799258818633074563093922,0.1,0.319940233343284,476.7,1525.155092347434828,34408,10.018885,110085.03548875715872,34408,110085.03548875715872,164.64263362,190.44950000917314,0.0005056315996887721,3.19940233343284,-54.62258111726638,13.141769070719207,125352206.39754263,3881,3763,761359.3371497007,2435894.839857632765323609551,202.32775369,647.3278872740109036771796,0.9029303,2.888837308747214251052,761359.3371497,2435894.839857630525741976148,0.06784634658944255,0.08503074686011372,0.0705652403137846
2018-09-13,1869,8640,6007530,695.31597222,433544180.8990822178930220219,0.11326322930800646,0.391625843673111446199629475,0.1,0.345766093785062,333.9,1154.512987148322018,34560,10.060495,119496.7620121174272,34560,119496.7620121174272,243.15918287,205.53951178639255,0.0005326925968589961,3.45766093785062,-47.493696522669154,33.38627516646998,125386551.39754263,2948,2900,515656.24591298,1782964.458852004363160759048,177.81284342,614.8165229414826454099204,1.74265906,6.0255241597534798696172,515657.24591298,1782967.916512942213780759048,0.06789543532109021,0.08425724545178807,0.07131670191474561
2018-09-14,709,8634,5763067,667.48517489,418204819.8834253943900187277,0.1531151003167863,0.5105470143011565998598896077,0.1,0.333440015547039,145,483.48802254320655,34536,10.05064,115156.84376932538904,34536,115156.84376932538904,285.51337521,198.2472530428785,0.0005134036178097296,3.33440015547039,-25.270743992946308,12.93900402090738,125421305.29754263,947,882,439283.4668639101,1464746.860206593751324180172,498.05381731,1660.7107258710852181744509,3.52000859,11.7371171897531082906501,439283.46686391,1464746.860206593417884164625,0.06791874537839242,0.08148263878496477,0.07044769240780216
2018-09-15,1245,8604,5827220,677.26871223,417802798.8997904815287415636,0.11843544857767664,0.3944235551238144710416102118,0.1,0.333028295042197,216.5,721.006258766356505,34416,10.013045,114615.01802172251952,34416,114615.01802172251952,531.53646426,198.54280982315302,0.0005104534618180072,3.33028295042197,-41.79713720873194,-8.746334757323718,125455645.99754263,1828,1784,236024.53346469993,786028.4796787898761312929295,132.30074746,440.5989235941207534056962,1.95570183,6.5130404605580460012051,236024.5334647,786028.479678790109251099459,0.06783751135844833,0.0713969123309396,0.07010966750854203
