date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-11-13,813,4320,3026948,700.682407407407,,0.16285138,,0.171246,,62.372078,,0,0,,0,,9.954423032308,,,,,,31112480306.048295,31112480306.048295,26065259147.974147,383,735,3125493080.319164,,19921593.97751378,,7011201.721245,,14642371573.472629,,,,
2017-11-14,986,4320,2919661,675.847453703704,,0.16033931,,0.171246,,71.83201,,0,0,,0,,24.720554907335,,,,,,31112480234.216285,31112480234.216285,26065259076.142137,448,851,1258567226.781169,,2114912.47572765,,2823518.120661,,1799790516.844234,,,,
2017-11-15,1000,4320,3040398,703.795833333333,,0.16058605,,0.171246,,70.979033,,0,0,,0,,23.97326880818,,,,,,31112480163.237252,31112480163.237252,26065259005.163104,442,845,1297798828.027216,,2344761.71005882,,6549597.5214525,,1981323644.999703,,,,
2017-11-16,968,4320,2918307,675.534027777778,,0.1624693,,0.171246,,71.973901,,0,0,,0,,19.689660209333,,,,,,31112480091.263351,31112480091.263351,26065258933.189203,443,858,1580143068.010682,,2710681.13169647,,6285948.18704,,2325764410.995567,,,,
2017-11-17,817,4320,3037527,703.13125,,0.16418851,,0.171246,,60.749748,,0,0,,0,,9.379888206402,,,,,,31112480030.513603,31112480030.513603,26077758872.610701,370,718,3316935057.848315,,5905128.13953494,,6185764.6864425,,4239882004.18609,,,,
2017-11-18,963,4319,3048310,705.790692289882,,0.16240694,,0.171246,,72.758308,,0,0,,0,,27.640207090289,,,,,,31112479957.755295,31112479957.755295,26077758799.852393,448,866,1125623981.619399,,5308882.72373298,,7778281.37982,,4597492438.752762,,,,
2017-11-19,973,4314,2914884,675.680111265647,,0.16550653,,0.171246,,73.319392,,0,0,,0,,23.959955935659,,,,,,31112479884.435903,31112479884.435903,26077758726.533001,443,860,1298519912.473296,,2252496.88208694,,6032543.504797,,1937147318.59477,,,,
2017-11-20,1474,4320,3128383,724.162731481481,,0.16596763,,0.171246,,112.526056,,0,0,,0,,8.342915645202,,,,,,31112479771.909847,31112479771.909847,26097759126.691929,678,1319,3729209438.885286,,8960702.90665962,,5894743.461155,,11819167133.884033,,,,
2017-11-21,1163,4320,2958753,684.896527777778,,0.16845668,,0.171246,,91.303519,,0,0,,0,,31.373005885412,,,,,,31112479680.606328,31112479680.606328,26097759035.38841,542,1066,991695848.15185,,3651863.41353381,,5919122.2947715,,3892886398.82704,,,,
2017-11-22,1014,4320,3074205,711.621527777778,,0.16393294,,0.171246,,77.04848,,0,0,,0,,21.69720707976,,,,,,31112479603.557848,31112479603.557848,26097758958.33993,470,904,1433939377.044577,,2287689.25574501,,5667969.954355501,,2068071087.193485,,,,
2017-11-23,1041,4320,3069089,710.437268518519,,0.16818755,,0.171246,,81.570962,,0,0,,0,,26.113772728558,,,,,,31112479521.986886,31112479521.986886,26091758876.968968,485,947,1191420322.348237,,2332214.02416595,,5509063.577752,,2208606680.885153,,,,
2017-11-24,1029,4320,2928865,677.978009259259,,0.16594428,,0.171246,,77.661925,,0,0,,0,,22.30330064509,,,,,,31112479444.324961,31112479444.324961,26091758799.307043,468,907,1394971979.233673,,2449399.72403671,,5373803.489676,,2221605549.701297,,,,
2017-11-25,1085,4320,3059328,708.177777777778,,0.16752155,,0.171246,,82.420601,,0,0,,0,,21.759969770966,,,,,,31112479361.90436,31112479361.90436,26091758716.886442,492,957,1429803427.549648,,2091892.83612446,,5228883.8502124995,,2001941444.171108,,,,
2017-11-26,1757,4320,3060071,708.349768518519,,0.16775173,,0.171246,,129.839839,,0,0,,0,,18.671685753005,,,,,,31112479232.064521,31112479232.064521,26091758587.046603,774,1510,1666291926.911737,,1784147.18813791,,5084096.111150499,,2694062254.08825,,,,
2017-11-27,2668,4319,3367280,779.643435980551,,0.16763395,,0.171246,,203.50762,,0,0,,0,,17.77299949583,,,,,,31112479028.556901,31112479028.556901,26091758383.538983,1214,2364,1750547454.629551,,2871191.09253991,,5043778.0121185,,6787495742.764336,,,,
2017-11-28,4719,4320,3765071,871.544212962963,,0.16986752,,0.171246,,376.086687,,0,0,,0,,9.051761496745,,,,,,31112478652.470214,31112478652.470214,26091758007.452296,2214,4350,3437173931.688288,,1642059.87237962,,4807668.125739,,7142960444.851363,,,,
2017-11-29,2702,4320,3235609,748.983564814815,,0.16322533,,0.17107,,207.949075,,0,0,,0,,35.155104654292,,,,,,31112478444.521139,31112478444.521139,26091757799.503221,1274,2457,885005997.008822,,2488753.65616489,,5187951.5565565005,,6114867733.197139,,,,
2017-11-30,6444,4318,4091696,947.590551181102,,0.16937319,,0.171246,,544.873563,,0,0,,0,,4.296311935347,,,,,,31112477899.647576,31112477899.647576,26091757354.800728,3217,6343,7241671081.578789,,2390031.5404681,,4364138.974755,,15159970061.189134,,,,
2017-12-01,6231,4320,4055459,938.763657407407,4043203619.865185723332916055,0.1710796,0.0222325483663515925828,0.17107,0.02223130080402202801,526.069775,68.365086876303193840325,0,0,0,0,0,3.35396892244,,0.000012022843028106617,0.129954409329643,,,31112477373.577801,31112477373.577801,26125757545.042941,3075,6052,9276316535.139374,1205498236.078837892392914663,4048209.11720504,526082.6246692565030441810007,4088829.533921,531361.426930303041739320203,24499761577.324874,3183852044.49833670730356944,,,
2017-12-02,4386,4320,3772530,873.270833333333,4152084368.746707945452350154,0.16824838,0.0224534185705810280707,0.17107,0.02282997503375245855,381.75557,50.94680617347249110105,0,0,0,0,0,8.776312741301,,0.000012204453995069146,0.133453995637765,,,31112476991.822231,31112476991.822231,26125757163.287371,2269,4445,3545051083.401692,473101231.8199434913652200984,1571441.76516023,209715.182472695065976264086,3875956.113364,517261.83024504783981959146,6985058646.13722,932183986.0911292546476041133,,,
2017-12-03,3920,4320,3661244,847.510185185185,4107002442.127950254258197492,0.16948914,0.02237341371293113014444,0.17107,0.02258209513524659122,334.232577,44.120370907304797532742,0,0,0,0,0,9.76398379443,,0.000011771506489764278,0.132004998744646,,,31112476657.589654,31112476657.589654,26125756829.054794,1972,3874,3186453123.297834,420627740.5408039030255708968,1473885.75255544,194560.2869158324821865181742,3752053.5480405,495289.823898930772753166163,5709833405.399787,753726551.5119366781327557904,,,
2017-12-04,5293,4320,3850538,891.328240740741,4249514335.664521178844896694,0.17056447,0.02329664010345106347858,0.17107,0.02336568819108325098,472.122462,64.485101041085818084068,0,0,0,0,0,2.842311423323,,0.000011813182876342967,0.136585539200814,,,31112476185.467192,31112476185.467192,26143186618.913139,2768,5467,10946188348.739628,1495091037.806269928103291657,6030728.1967117,823710.2625214202242007633238,3676783.730744,502195.488388449759121625616,32969991051.422871,4503224005.204605335462901417,,,
2017-12-05,6005,4320,4138283,957.93587962963,4009391182.066183165826296871,0.17054855,0.02197818843452854669745,0.17107,0.02204538646323758533,536.204627,69.099422608237321881413,0,0,0,0,0,4.853147417863,,0.000010979836086071163,0.128867635840519,,,31112475649.262565,31112475649.262565,26143185183.258782,3144,6195,6410783141.420158,826142467.321071338029659782,4655588.77101965,599954.7183669696522564151984,3516170.6197659997,453120.5949811368479048078018,28841372436.466726,3716719480.283376254739586071,,,
2017-12-06,6270,4320,4076524,943.639814814815,3769054836.675941574583090737,0.17166968,0.0207965594440861203128,0.17107,0.0207239124818069947,556.724766,67.44324152123971696686,0,0,0,0,0,6.991658116509,,0.000008657928404441826,0.12114288000121,,,31112475092.537799,31112475092.537799,26143184626.534016,3243,6418,4449942284.659859,539078824.2028595698183584294,3081383.41768317,373287.6616061106152649966357,3329333.755725,403325.07965377148184442725,19776318774.690567,2395760212.188015740930335586,,,
2017-12-07,5893,4319,4170598,965.63973141931,3334171789.587280623417907493,0.17188579,0.0184201597621580008923,0.17107,0.0183327355362672459,529.408236,56.73409236750895350732,0,0,0,0,0,8.867635885671,,0.000006291877941342484,0.10716511098537,,,31112474563.129563,31112474563.129563,26143184097.12578,3080,6088,3508542182.409953,375993312.3748148886211253876,3170456.29690171,339762.3009317369326161379827,3208732.12368,343864.1341564891775105616,19301737935.537604,2068472888.072413751337128853,,,
2017-12-08,5694,4318,4039566,935.517832329782,3605610061.950086860407352786,0.17092378,0.01980827689667832465786,0.17107,0.01982522226406858659,509.523792,59.048473871696098599504,0,0,0,0,0,5.046395188505,,0.000007110447106955019,0.115889532145137,,,31112474053.605771,31112474053.605771,26165517952.443234,2981,5903,6165286881.311422,714492212.2157314839273998548,2686488.43555582,311335.8879098850117475050473,3072747.134936,356099.227868043190875206232,15858341235.086025,1837815746.33205348882698041,,,
2017-12-09,4509,4319,3726015,862.703172030563,3763511180.213802686374441841,0.17243931,0.02085907016823188290227,0.17107,0.02069343198879320619,397.817485,48.121874494652840776245,0,0,0,0,0,13.081356060943,,0.000008037510165113032,0.120964704441417,,,31112473655.788286,31112473655.788286,26165517554.625749,2307,4577,2378382907.004571,287700385.3943261053232207171,2133857.81496667,258121.4799074511215248225714,2933469.438618,354846.263630355818258441706,9766667219.102457,1181422013.536404800532277262,,,
2017-12-10,3788,4320,3689957,854.156712962963,3413501899.717908915501194949,0.17194845,0.01886530699765761836565,0.17107,0.01876892794374877339,331.000772,36.315716601351590379044,0,0,0,0,0,13.231555224216,,0.000007089816041528485,0.109714900004377,,,31112473324.787514,31112473324.787514,26165517223.624977,1925,3803,2351384459.163635,257981910.8089843074392592304,1376101.96035229,150978.8889758786604014619733,2812130.165395,308532.579895604579233933915,5233315755.219765,574172714.7752672180590969114,,,
2017-12-11,5634,4319,3914228,906.281083584163,3743684632.986289045535318137,0.17197845,0.02069372897744744437755,0.17107,0.02058441750214596253,499.253429,60.073893855813331686491,0,0,0,0,0,10.169421109951,,0.000007131150590128913,0.120327453686479,,,31112472825.534085,31112472825.534085,26165516724.371548,2903,5761,3059414345.137984,368131537.9223402485107301183,2501933.63016644,301051.3030104965877803475648,2727711.133807,328218.535123254914995695553,14413639643.388857,1734356556.643470380145160165,,,
2017-12-12,6598,4320,4296073,994.461342592593,4295963376.287272890613172133,0.17180203,0.02372216593207728989624,0.17107,0.02362108833056548856,593.232415,81.91263971046754599932,0,0,0,0,0,7.740101828373,,0.000007920101220417202,0.138078496116008,,,31112472232.30167,31112472232.30167,26165516131.139133,3453,6836,4019646371.866988,555026725.9455615513975935439,2327916.74216662,321435.242841643636428785253,2611477.381021,360588.869412350892433484168,15913638849.450994,2197331320.065473092872134912,,,
2017-12-13,6444,4320,4226586,978.376388888889,4215473024.192777499222586361,0.1718959,0.0232904199107252936582,0.17107,0.02317851754537354286,572.413354,77.557099251155181220292,0,0,0,0,0,8.963901728407,,0.000008204067223316796,0.135491421905498,,,31112471659.888316,31112471659.888316,26165515558.725779,3330,6603,3470862644.699782,470272114.9690507646205852014,2488498.90697961,337170.2553169449601980328958,2509971.0636385,340079.548354035573491034473,16431558282.786376,2226335195.857789085626793895,,,
2017-12-14,9816,4319,4866169,1126.688816855754,7415065488.683951504084909258,0.17275763,0.0411734943390816901256,0.17107,0.0407712798363042184,865.688482,206.32037967315956811184,0,0,0,0,0,7.812642897329,,0.00001435478609000586,0.23833097466712,,,31112470794.199834,31112470794.199834,26165514693.037297,5011,9940,3982323421.544962,949111022.4965109792340630494,2570082.49566244,612530.2661661335349228869728,4323812.606434,1030498.47276939575272025008,25546620006.884693,6088550845.691376727373898394,,,
2017-12-15,10695,4319,5128071,1187.328316739986,6710594673.121301030231239069,0.17257466,0.037222329163104670436,0.17107,0.036897791656853422,936.735232,202.0427978486599324672,0,0,0,0,0,8.073427824509,,0.000012184399473991792,0.2156882659546,,,31112469857.464602,31112469857.464602,26165513756.302065,5428,10789,3853687743.763119,831195226.9827620282948083974,2494929.24569554,538126.962683489198779062484,3342984.152098,721042.4548797264015627508,26917791631.809234,5805851800.392176384164104776,,,
2017-12-16,13835,4320,5555599,1286.018287037037,13035382875.99747784089879555,0.17205731,0.07208791237484013920447,0.17107,0.07167425301467227759,1226.080362,513.698451407663397550194,0,0,0,0,0,6.25483650807,,0.00002133224060346609,0.418976167736437,,,31112468631.38424,31112468631.38424,26166838540.564019,7126,14186,4974145781.627303,2084048537.348571430471867139,1406266.85224735,589192.296569376980775931692,2255751.0528800003,945105.9315030953747826388809,19949301565.980947,8358281919.133198566436459666,,,
2017-12-17,15271,4320,5980951,1384.479398148148,14949443235.10177980359102217,0.17267264,0.08296866332144900927424,0.17107,0.08219859981523582437,1266.035793,608.326237800735023021463,0,0,0,0,0,11.741112720166,,0.000024960270070399944,0.480496871545191,,,31112467365.348447,31112467365.348447,26166837274.528226,7332,14564,2649873832.819277,1273256086.659127071770841447,2427735.73949061,1166519.427763688914429935157,3986192.4309085,1915352.992428654174902936024,35357543309.941223,16989188945.95035524010339831,,,
