date,Price_in_USD_or_index_value
2006-03-30,100.5698
2006-03-31,100.56
2006-04-01,100.5801
2006-04-02,100.6003
2006-04-03,100.6204
2006-04-04,100.1319
2006-04-05,100.0792
2006-04-06,100.1578
2006-04-07,100.4187
2006-04-08,100.4155
2006-04-09,100.4123
2006-04-10,100.4091
2006-04-11,100.2903
2006-04-12,100.3589
2006-04-13,100.4759
2006-04-14,100.4697
2006-04-15,100.2704
2006-04-16,100.0712
2006-04-17,99.8719
2006-04-18,99.6747
2006-04-19,99.3467
2006-04-20,99.4974
2006-04-21,99.4345
2006-04-22,99.3287
2006-04-23,99.2228
2006-04-24,99.117
2006-04-25,98.9687
2006-04-26,98.8907
2006-04-27,98.5149
2006-04-28,98.1412
2006-04-29,98.0636
2006-04-30,97.9861
2006-05-01,97.9085
2006-05-02,97.6571
2006-05-03,97.5572
2006-05-04,97.4878
2006-05-05,97.2585
2006-05-06,97.2372
2006-05-07,97.2158
2006-05-08,97.1945
2006-05-09,96.9578
2006-05-10,96.6391
2006-05-11,96.5383
2006-05-12,96.8788
2006-05-13,97.0388
2006-05-14,97.1988
2006-05-15,97.3588
2006-05-16,97.1959
2006-05-17,97.4725
2006-05-18,97.7033
2006-05-19,97.933
2006-05-20,97.9346
2006-05-21,97.9361
2006-05-22,97.9377
2006-05-23,97.7045
2006-05-24,98.3936
2006-05-25,97.8423
2006-05-26,97.8995
2006-05-27,97.8975
2006-05-28,97.8956
2006-05-29,97.8936
2006-05-30,97.588
2006-05-31,97.7705
2006-06-01,97.7726
2006-06-02,97.5544
2006-06-03,97.4923
2006-06-04,97.4302
2006-06-05,97.3681
2006-06-06,98.1449
2006-06-07,98.1641
2006-06-08,98.9313
2006-06-09,98.5471
2006-06-10,98.5479
2006-06-11,98.5486
2006-06-12,98.5494
2006-06-13,98.9201
2006-06-14,98.8338
2006-06-15,98.8846
2006-06-16,98.9127
2006-06-17,98.9901
2006-06-18,99.0676
2006-06-19,99.145
2006-06-20,99.0117
2006-06-21,98.5544
2006-06-22,99.0856
2006-06-23,99.4216
2006-06-24,99.4022
2006-06-25,99.3828
2006-06-26,99.3634
2006-06-27,99.219
2006-06-28,99.392
2006-06-29,99.2158
2006-06-30,98.2483
2006-07-01,98.1779
2006-07-02,98.1075
2006-07-03,98.0371
2006-07-04,98.0221
2006-07-05,98.308
2006-07-06,98.138
2006-07-07,97.7508
2006-07-08,97.8276
2006-07-09,97.9045
2006-07-10,97.9813
2006-07-11,98.2132
2006-07-12,98.5202
2006-07-13,98.5583
2006-07-14,98.6814
2006-07-15,98.8132
2006-07-16,98.9449
2006-07-17,99.0767
2006-07-18,99.1341
2006-07-19,98.9262
2006-07-20,98.6014
2006-07-21,98.5221
2006-07-22,98.6079
2006-07-23,98.6937
2006-07-24,98.7795
2006-07-25,98.9388
2006-07-26,98.742
2006-07-27,98.2283
2006-07-28,98.0539
2006-07-29,98.0358
2006-07-30,98.0177
2006-07-31,97.9996
2006-08-01,98.1715
2006-08-02,97.9432
2006-08-03,98.0694
2006-08-04,97.6005
2006-08-05,97.5699
2006-08-06,97.5394
2006-08-07,97.5088
2006-08-08,97.6524
2006-08-09,97.4402
2006-08-10,97.8887
2006-08-11,97.7863
2006-08-12,97.8468
2006-08-13,97.9072
2006-08-14,97.9677
2006-08-15,97.8043
2006-08-16,97.3894
2006-08-17,97.3486
2006-08-18,97.7577
2006-08-19,97.6337
2006-08-20,97.5096
2006-08-21,97.3856
2006-08-22,97.6079
2006-08-23,97.5731
2006-08-24,97.7939
2006-08-25,97.8827
2006-08-26,97.8707
2006-08-27,97.8587
2006-08-28,97.8467
2006-08-29,97.7748
2006-08-30,97.5792
2006-08-31,97.644
2006-09-01,97.5084
2006-09-02,97.505
2006-09-03,97.5015
2006-09-04,97.4981
2006-09-05,97.4392
2006-09-06,97.6087
2006-09-07,97.8108
2006-09-08,98.2119
2006-09-09,98.2694
2006-09-10,98.327
2006-09-11,98.3845
2006-09-12,98.2781
2006-09-13,98.1775
2006-09-14,98.0088
2006-09-15,98.2104
2006-09-16,98.1847
2006-09-17,98.1589
2006-09-18,98.1332
2006-09-19,98.1703
2006-09-20,98.1556
2006-09-21,97.9458
2006-09-22,97.8667
2006-09-23,97.9081
2006-09-24,97.9495
2006-09-25,97.9909
2006-09-26,98.0555
2006-09-27,98.0107
2006-09-28,98.0381
2006-09-29,98.1054
2006-09-30,98.0452
2006-10-01,97.9849
2006-10-02,97.9247
2006-10-03,98.1267
2006-10-04,98.3682
2006-10-05,98.2776
2006-10-06,98.5619
2006-10-07,98.5647
2006-10-08,98.5674
2006-10-09,98.5702
2006-10-10,98.9125
2006-10-11,98.9146
2006-10-12,98.831
2006-10-13,98.8002
2006-10-14,98.7701
2006-10-15,98.7401
2006-10-16,98.71
2006-10-17,98.5354
2006-10-18,98.6164
2006-10-19,98.2897
2006-10-20,98.1629
2006-10-21,98.258
2006-10-22,98.3532
2006-10-23,98.4483
2006-10-24,98.349
2006-10-25,98.2057
2006-10-26,97.8907
2006-10-27,97.4914
2006-10-28,97.5167
2006-10-29,97.5419
2006-10-30,97.5672
2006-10-31,97.3901
2006-11-01,97.4949
2006-11-02,97.6556
2006-11-03,97.7209
2006-11-04,97.7493
2006-11-05,97.7776
2006-11-06,97.806
2006-11-07,97.4453
2006-11-08,97.58
2006-11-09,97.5041
2006-11-10,97.4638
2006-11-11,97.5727
2006-11-12,97.6815
2006-11-13,97.7904
2006-11-14,97.7475
2006-11-15,97.8359
2006-11-16,97.8098
2006-11-17,97.9855
2006-11-18,97.9988
2006-11-19,98.0121
2006-11-20,98.0254
2006-11-21,98.0215
2006-11-22,97.5315
2006-11-23,97.5314
2006-11-24,97.0657
2006-11-25,97.0433
2006-11-26,97.021
2006-11-27,96.9986
2006-11-28,96.8428
2006-11-29,96.8577
2006-11-30,96.5779
2006-12-01,96.4585
2006-12-02,96.4496
2006-12-03,96.4408
2006-12-04,96.4319
2006-12-05,96.2082
2006-12-06,96.2839
2006-12-07,96.3207
2006-12-08,96.6123
2006-12-09,96.6297
2006-12-10,96.6472
2006-12-11,96.6646
2006-12-12,96.7119
2006-12-13,96.7296
2006-12-14,96.7946
2006-12-15,96.9857
2006-12-16,97.0424
2006-12-17,97.0992
2006-12-18,97.1559
2006-12-19,96.9313
2006-12-20,96.7762
2006-12-21,96.9148
2006-12-22,97.1113
2006-12-23,97.1149
2006-12-24,97.1185
2006-12-25,97.1221
2006-12-26,97.1786
2006-12-27,97.2076
2006-12-28,97.0656
2006-12-29,97.0312
2006-12-30,97.0316
2006-12-31,97.0319
2007-01-01,97.0323
2007-01-02,97.0802
2007-01-03,97.1281
2007-01-04,97.5251
2007-01-05,97.7801
2007-01-06,97.7827
2007-01-07,97.7854
2007-01-08,97.788
2007-01-09,97.9642
2007-01-10,98.0943
2007-01-11,98.0845
2007-01-12,97.921
2007-01-13,97.9207
2007-01-14,97.9204
2007-01-15,97.9201
2007-01-16,97.9816
2007-01-17,97.7509
2007-01-18,97.8286
2007-01-19,97.6868
2007-01-20,97.7335
2007-01-21,97.7803
2007-01-22,97.827
2007-01-23,97.8117
2007-01-24,97.908
2007-01-25,97.8396
2007-01-26,98.1491
2007-01-27,98.1683
2007-01-28,98.1874
2007-01-29,98.2066
2007-01-30,98.1515
2007-01-31,97.964
2007-02-01,97.7101
2007-02-02,97.9743
2007-02-03,97.9395
2007-02-04,97.9048
2007-02-05,97.87
2007-02-06,97.7357
2007-02-07,97.7239
2007-02-08,97.8169
2007-02-09,97.7076
2007-02-10,97.7854
2007-02-11,97.8631
2007-02-12,97.9409
2007-02-13,97.7063
2007-02-14,97.2779
2007-02-15,97.1588
2007-02-16,97.164
2007-02-17,97.1608
2007-02-18,97.1577
2007-02-19,97.1545
2007-02-20,97.321
2007-02-21,97.27
2007-02-22,97.266
2007-02-23,97.1756
2007-02-24,97.1931
2007-02-25,97.2106
2007-02-26,97.2281
2007-02-27,97.0883
2007-02-28,97.2386
2007-03-01,97.3358
2007-03-02,97.3691
2007-03-03,97.4699
2007-03-04,97.5708
2007-03-05,97.6716
2007-03-06,97.5123
2007-03-07,97.4558
2007-03-08,97.5731
2007-03-09,97.4559
2007-03-10,97.4044
2007-03-11,97.3528
2007-03-12,97.3013
2007-03-13,97.2203
2007-03-14,97.2759
2007-03-15,97.2476
2007-03-16,97.0407
2007-03-17,97.0625
2007-03-18,97.0844
2007-03-19,97.1062
2007-03-20,96.7985
2007-03-21,96.6195
2007-03-22,96.3893
2007-03-23,96.5662
2007-03-24,96.5606
2007-03-25,96.5549
2007-03-26,96.5493
2007-03-27,96.4558
2007-03-28,96.4894
2007-03-29,96.5067
2007-03-30,96.3183
2007-03-31,96.318
2007-04-01,96.3178
2007-04-02,96.3175
2007-04-03,96.3774
2007-04-04,96.3646
2007-04-05,96.1188
2007-04-06,96.2526
2007-04-07,96.2661
2007-04-08,96.2795
2007-04-09,96.293
2007-04-10,96.1179
2007-04-11,96.0293
2007-04-12,95.7999
2007-04-13,95.711
2007-04-14,95.6586
2007-04-15,95.6062
2007-04-16,95.5538
2007-04-17,95.3832
2007-04-18,95.3109
2007-04-19,95.2712
2007-04-20,95.1692
2007-04-21,95.1739
2007-04-22,95.1786
2007-04-23,95.1833
2007-04-24,95.1608
2007-04-25,94.8497
2007-04-26,95.1653
2007-04-27,95.0103
2007-04-28,94.9524
2007-04-29,94.8944
2007-04-30,94.8365
2007-05-01,95.0037
2007-05-02,95.0352
2007-05-03,95.0167
2007-05-04,94.9118
2007-05-05,94.8383
2007-05-06,94.7649
2007-05-07,94.6914
2007-05-08,94.8648
2007-05-09,94.7933
2007-05-10,94.9506
2007-05-11,95.0035
2007-05-12,94.9446
2007-05-13,94.8856
2007-05-14,94.8267
2007-05-15,94.5574
2007-05-16,94.8143
2007-05-17,94.8339
2007-05-18,94.6573
2007-05-19,94.6724
2007-05-20,94.6875
2007-05-21,94.7026
2007-05-22,94.5753
2007-05-23,94.4557
2007-05-24,94.7025
2007-05-25,94.5022
2007-05-26,94.5001
2007-05-27,94.498
2007-05-28,94.4959
2007-05-29,94.3533
2007-05-30,94.549
2007-05-31,94.3215
2007-06-01,94.132
2007-06-02,94.087
2007-06-03,94.0419
2007-06-04,93.9969
2007-06-05,93.9986
2007-06-06,94.1217
2007-06-07,94.3537
2007-06-08,94.7599
2007-06-09,94.7258
2007-06-10,94.6917
2007-06-11,94.6576
2007-06-12,94.6991
2007-06-13,94.9011
2007-06-14,94.9029
2007-06-15,94.6228
2007-06-16,94.5977
2007-06-17,94.5726
2007-06-18,94.5475
2007-06-19,94.3227
2007-06-20,94.3618
2007-06-21,94.6073
2007-06-22,94.4371
2007-06-23,94.4616
2007-06-24,94.486
2007-06-25,94.5105
2007-06-26,94.4678
2007-06-27,94.5633
2007-06-28,94.2395
2007-06-29,94.1393
2007-06-30,93.9709
2007-07-01,93.8024
2007-07-02,93.634
2007-07-03,93.697
2007-07-04,93.6965
2007-07-05,93.7653
2007-07-06,93.5759
2007-07-07,93.5679
2007-07-08,93.5599
2007-07-09,93.5519
2007-07-10,93.3339
2007-07-11,93.3089
2007-07-12,93.1198
2007-07-13,93.0133
2007-07-14,92.9787
2007-07-15,92.944
2007-07-16,92.9094
2007-07-17,92.9095
2007-07-18,92.7959
2007-07-19,92.7332
2007-07-20,92.7179
2007-07-21,92.6981
2007-07-22,92.6783
2007-07-23,92.6585
2007-07-24,92.505
2007-07-25,92.9189
2007-07-26,93.1186
2007-07-27,93.5485
2007-07-28,93.5629
2007-07-29,93.5774
2007-07-30,93.5918
2007-07-31,93.4264
2007-08-01,93.4011
2007-08-02,93.3038
2007-08-03,93.1039
2007-08-04,93.1063
2007-08-05,93.1088
2007-08-06,93.1112
2007-08-07,93.3171
2007-08-08,93.0989
2007-08-09,93.441
2007-08-10,93.5214
2007-08-11,93.5487
2007-08-12,93.5759
2007-08-13,93.6032
2007-08-14,94.0416
2007-08-15,94.5014
2007-08-16,94.9055
2007-08-17,94.319
2007-08-18,94.2839
2007-08-19,94.2489
2007-08-20,94.2138
2007-08-21,94.2676
2007-08-22,94.0998
2007-08-23,93.9827
2007-08-24,93.6863
2007-08-25,93.6612
2007-08-26,93.636
2007-08-27,93.6109
2007-08-28,93.8394
2007-08-29,93.7174
2007-08-30,93.7324
2007-08-31,93.6674
2007-09-01,93.668
2007-09-02,93.6685
2007-09-03,93.6691
2007-09-04,93.6433
2007-09-05,93.5453
2007-09-06,93.4468
2007-09-07,93.2939
2007-09-08,93.2742
2007-09-09,93.2546
2007-09-10,93.2349
2007-09-11,92.9244
2007-09-12,92.6386
2007-09-13,92.6172
2007-09-14,92.7083
2007-09-15,92.7465
2007-09-16,92.7848
2007-09-17,92.823
2007-09-18,92.6584
2007-09-19,92.1534
2007-09-20,91.4212
2007-09-21,91.4854
2007-09-22,91.4575
2007-09-23,91.4296
2007-09-24,91.4017
2007-09-25,91.3392
2007-09-26,91.4335
2007-09-27,91.3497
2007-09-28,90.9446
2007-09-29,90.9231
2007-09-30,90.9016
2007-10-01,90.8801
2007-10-02,91.12
2007-10-03,91.1038
2007-10-04,91.1632
2007-10-05,90.7393
2007-10-06,90.7422
2007-10-07,90.7451
2007-10-08,90.748
2007-10-09,90.8609
2007-10-10,90.7154
2007-10-11,90.4901
2007-10-12,90.5945
2007-10-13,90.5759
2007-10-14,90.5573
2007-10-15,90.5387
2007-10-16,90.7123
2007-10-17,90.515
2007-10-18,90.3084
2007-10-19,90.1014
2007-10-20,90.2935
2007-10-21,90.4856
2007-10-22,90.6777
2007-10-23,90.1899
2007-10-24,90.2262
2007-10-25,89.9925
2007-10-26,89.6508
2007-10-27,89.5711
2007-10-28,89.4915
2007-10-29,89.4118
2007-10-30,89.3252
2007-10-31,89.1389
2007-11-01,89.1628
2007-11-02,88.8924
2007-11-03,88.89
2007-11-04,88.8875
2007-11-05,88.8851
2007-11-06,88.4938
2007-11-07,88.0631
2007-11-08,88.2631
2007-11-09,88.4615
2007-11-10,88.4627
2007-11-11,88.4638
2007-11-12,88.465
2007-11-13,89.1016
2007-11-14,88.9671
2007-11-15,89.4413
2007-11-16,89.3182
2007-11-17,89.3875
2007-11-18,89.4569
2007-11-19,89.5262
2007-11-20,89.2622
2007-11-21,89.3352
2007-11-22,89.3269
2007-11-23,89.2384
2007-11-24,89.2073
2007-11-25,89.1761
2007-11-26,89.145
2007-11-27,89.4082
2007-11-28,89.4195
2007-11-29,89.3681
2007-11-30,89.6212
2007-12-01,89.6276
2007-12-02,89.6339
2007-12-03,89.6403
2007-12-04,89.6672
2007-12-05,89.8751
2007-12-06,89.9268
2007-12-07,89.74
2007-12-08,89.7204
2007-12-09,89.7007
2007-12-10,89.6811
2007-12-11,89.7176
2007-12-12,89.7349
2007-12-13,90.1374
2007-12-14,90.4345
2007-12-15,90.4684
2007-12-16,90.5024
2007-12-17,90.5363
2007-12-18,90.5602
2007-12-19,90.6147
2007-12-20,90.4695
2007-12-21,90.3672
2007-12-22,90.3044
2007-12-23,90.2416
2007-12-24,90.1788
2007-12-25,90.1786
2007-12-26,89.9226
2007-12-27,89.684
2007-12-28,89.4069
2007-12-29,89.4814
2007-12-30,89.5559
2007-12-31,89.6304
2008-01-01,89.6297
2008-01-02,89.3514
2008-01-03,89.231
2008-01-04,89.2467
2008-01-05,89.3551
2008-01-06,89.4634
2008-01-07,89.5718
2008-01-08,89.3398
2008-01-09,89.6807
2008-01-10,89.6226
2008-01-11,89.5215
2008-01-12,89.4393
2008-01-13,89.3571
2008-01-14,89.2749
2008-01-15,89.1555
2008-01-16,89.6701
2008-01-17,89.6484
2008-01-18,89.8993
2008-01-19,89.9084
2008-01-20,89.9174
2008-01-21,89.9265
2008-01-22,89.84
2008-01-23,89.9138
2008-01-24,89.203
2008-01-25,89.2184
2008-01-26,89.1308
2008-01-27,89.0431
2008-01-28,88.9555
2008-01-29,88.8342
2008-01-30,88.7442
2008-01-31,88.6547
2008-02-01,88.4824
2008-02-02,88.4812
2008-02-03,88.48
2008-02-04,88.4788
2008-02-05,89.076
2008-02-06,88.9987
2008-02-07,89.4221
2008-02-08,89.2226
2008-02-09,89.22
2008-02-10,89.2175
2008-02-11,89.2149
2008-02-12,88.9539
2008-02-13,89.1382
2008-02-14,88.9055
2008-02-15,88.9006
2008-02-16,88.9005
2008-02-17,88.9005
2008-02-18,88.9004
2008-02-19,88.9626
2008-02-20,89.2572
2008-02-21,88.716
2008-02-22,88.7082
2008-02-23,88.6512
2008-02-24,88.5943
2008-02-25,88.5373
2008-02-26,88.0998
2008-02-27,87.3353
2008-02-28,87.0363
2008-02-29,87.1654
2008-03-01,87.1896
2008-03-02,87.2139
2008-03-03,87.2381
2008-03-04,87.3039
2008-03-05,87.1347
2008-03-06,86.9105
2008-03-07,87.1258
2008-03-08,87.1323
2008-03-09,87.1387
2008-03-10,87.1452
2008-03-11,87.1763
2008-03-12,86.728
2008-03-13,86.3891
2008-03-14,86.4301
2008-03-15,86.4006
2008-03-16,86.3712
2008-03-17,86.3417
2008-03-18,86.1191
2008-03-19,86.5755
2008-03-20,87.3293
2008-03-21,87.2111
2008-03-22,87.2442
2008-03-23,87.2772
2008-03-24,87.3103
2008-03-25,86.8339
2008-03-26,86.5513
2008-03-27,86.4583
2008-03-28,86.6369
2008-03-29,86.654
2008-03-30,86.671
2008-03-31,86.6881
2008-04-01,87.0276
2008-04-02,86.8886
2008-04-03,86.6424
2008-04-04,86.5108
2008-04-05,86.5415
2008-04-06,86.5723
2008-04-07,86.603
2008-04-08,86.7369
2008-04-09,86.5764
2008-04-10,86.5131
2008-04-11,86.5029
2008-04-12,86.4517
2008-04-13,86.4004
2008-04-14,86.3492
2008-04-15,86.4705
2008-04-16,85.9037
2008-04-17,86.1077
2008-04-18,86.5277
2008-04-19,86.4511
2008-04-20,86.3745
2008-04-21,86.2979
2008-04-22,85.927
2008-04-23,86.3841
2008-04-24,86.7154
2008-04-25,86.8337
2008-04-26,86.8103
2008-04-27,86.7869
2008-04-28,86.7635
2008-04-29,86.873
2008-04-30,86.8907
2008-05-01,87.1347
2008-05-02,87.2311
2008-05-03,87.1753
2008-05-04,87.1194
2008-05-05,87.0636
2008-05-06,86.847
2008-05-07,87.3421
2008-05-08,87.4575
2008-05-09,87.2528
2008-05-10,87.182
2008-05-11,87.1111
2008-05-12,87.0403
2008-05-13,87.1332
2008-05-14,87.3659
2008-05-15,87.1823
2008-05-16,86.7855
2008-05-17,86.7978
2008-05-18,86.8102
2008-05-19,86.8225
2008-05-20,86.5627
2008-05-21,86.1595
2008-05-22,86.3223
2008-05-23,86.1922
2008-05-24,86.1915
2008-05-25,86.1907
2008-05-26,86.19
2008-05-27,86.4459
2008-05-28,86.4951
2008-05-29,86.5616
2008-05-30,86.5504
2008-05-31,86.5776
2008-06-01,86.6049
2008-06-02,86.6321
2008-06-03,86.8359
2008-06-04,87.0999
2008-06-05,87.0968
2008-06-06,86.8028
2008-06-07,86.8384
2008-06-08,86.874
2008-06-09,86.9096
2008-06-10,87.4705
2008-06-11,87.2059
2008-06-12,87.6187
2008-06-13,87.7622
2008-06-14,87.6385
2008-06-15,87.5148
2008-06-16,87.3911
2008-06-17,87.2103
2008-06-18,87.1872
2008-06-19,87.0815
2008-06-20,86.9036
2008-06-21,87.0078
2008-06-22,87.1121
2008-06-23,87.2163
2008-06-24,86.9666
2008-06-25,87.0535
2008-06-26,86.6793
2008-06-27,86.643
2008-06-28,86.6827
2008-06-29,86.7224
2008-06-30,86.7621
2008-07-01,86.8447
2008-07-02,86.4782
2008-07-03,86.8843
2008-07-04,86.8781
2008-07-05,86.906
2008-07-06,86.9338
2008-07-07,86.9617
2008-07-08,86.9778
2008-07-09,86.5335
2008-07-10,86.5122
2008-07-11,86.221
2008-07-12,86.1833
2008-07-13,86.1456
2008-07-14,86.1079
2008-07-15,85.8731
2008-07-16,85.9285
2008-07-17,85.9387
2008-07-18,86.0735
2008-07-19,86.054
2008-07-20,86.0346
2008-07-21,86.0151
2008-07-22,86.1909
2008-07-23,86.2664
2008-07-24,86.4017
2008-07-25,86.3916
2008-07-26,86.4166
2008-07-27,86.4416
2008-07-28,86.4666
2008-07-29,86.8175
2008-07-30,86.8167
2008-07-31,86.8567
2008-08-01,86.8257
2008-08-02,86.9042
2008-08-03,86.9826
2008-08-04,87.0611
2008-08-05,87.3281
2008-08-06,87.6004
2008-08-07,87.8732
2008-08-08,88.8939
2008-08-09,88.9409
2008-08-10,88.988
2008-08-11,89.035
2008-08-12,89.1916
2008-08-13,89.3211
2008-08-14,89.3675
2008-08-15,89.7244
2008-08-16,89.6818
2008-08-17,89.6392
2008-08-18,89.5966
2008-08-19,89.6465
2008-08-20,89.6977
2008-08-21,88.9128
2008-08-22,89.2381
2008-08-23,89.2619
2008-08-24,89.2856
2008-08-25,89.3094
2008-08-26,89.7007
2008-08-27,89.6419
2008-08-28,89.8225
2008-08-29,90.0567
2008-08-30,90.0645
2008-08-31,90.0722
2008-09-01,90.08
2008-09-02,90.8438
2008-09-03,90.8286
2008-09-04,91.1621
2008-09-05,91.341
2008-09-06,91.4483
2008-09-07,91.5557
2008-09-08,91.663
2008-09-09,91.5779
2008-09-10,92.1283
2008-09-11,92.4901
2008-09-12,91.4706
2008-09-13,91.5661
2008-09-14,91.6615
2008-09-15,91.757
2008-09-16,92.0594
2008-09-17,92.0982
2008-09-18,91.7111
2008-09-19,91.0014
2008-09-20,90.7049
2008-09-21,90.4084
2008-09-22,90.1119
2008-09-23,90.1221
2008-09-24,90.4602
2008-09-25,90.4651
2008-09-26,90.6872
2008-09-27,90.9235
2008-09-28,91.1598
2008-09-29,91.3961
2008-09-30,92.3773
2008-10-01,92.511
2008-10-02,93.3792
2008-10-03,93.5414
2008-10-04,94.0819
2008-10-05,94.6224
2008-10-06,95.1629
2008-10-07,95.4889
2008-10-08,96.9684
2008-10-09,96.5143
2008-10-10,97.999
2008-10-11,97.9889
2008-10-12,97.9787
2008-10-13,97.9686
2008-10-14,96.2544
2008-10-15,97.2045
2008-10-16,98.368
2008-10-17,97.7255
2008-10-18,97.8705
2008-10-19,98.0155
2008-10-20,98.1605
2008-10-21,99.4242
2008-10-22,101.2131
2008-10-23,101.1071
2008-10-24,101.8442
2008-10-25,102.01
2008-10-26,102.1757
2008-10-27,102.3415
2008-10-28,102.4236
2008-10-29,100.0967
2008-10-30,99.4568
2008-10-31,99.7662
2008-11-01,99.6556
2008-11-02,99.5451
2008-11-03,99.4345
2008-11-04,97.9957
2008-11-05,98.0953
2008-11-06,99.5364
2008-11-07,99.3944
2008-11-08,99.4595
2008-11-09,99.5246
2008-11-10,99.5897
2008-11-11,99.6041
2008-11-12,101.1947
2008-11-13,101.774
2008-11-14,100.9705
2008-11-15,101.0146
2008-11-16,101.0588
2008-11-17,101.1029
2008-11-18,101.3965
2008-11-19,101.8804
2008-11-20,103.2737
2008-11-21,103.6289
2008-11-22,102.9199
2008-11-23,102.211
2008-11-24,101.502
2008-11-25,100.7997
2008-11-26,101.2566
2008-11-27,101.2564
2008-11-28,101.6468
2008-11-29,101.8227
2008-11-30,101.9985
2008-12-01,102.1744
2008-12-02,101.9891
2008-12-03,102.4251
2008-12-04,102.0715
2008-12-05,103.4902
2008-12-06,102.901
2008-12-07,102.3119
2008-12-08,101.7227
2008-12-09,101.7346
2008-12-10,101.2913
2008-12-11,99.5101
2008-12-12,100.319
2008-12-13,99.9127
2008-12-14,99.5064
2008-12-15,99.1001
2008-12-16,98.4771
2008-12-17,96.8227
2008-12-18,96.8447
2008-12-19,98.1278
2008-12-20,98.14
2008-12-21,98.1521
2008-12-22,98.1643
2008-12-23,98.2698
2008-12-24,98.2249
2008-12-25,98.2419
2008-12-26,98.2594
2008-12-27,98.1516
2008-12-28,98.0437
2008-12-29,97.9359
2008-12-30,98.3833
2008-12-31,98.6518
2009-01-01,98.6263
2009-01-02,98.6008
2009-01-03,98.707
2009-01-04,98.8133
2009-01-05,98.9195
2009-01-06,98.7871
2009-01-07,98.089
2009-01-08,98.3223
2009-01-09,98.8752
2009-01-10,99.1175
2009-01-11,99.3599
2009-01-12,99.6022
2009-01-13,100.3597
2009-01-14,100.7546
2009-01-15,101.4653
2009-01-16,100.711
2009-01-17,100.9889
2009-01-18,101.2669
2009-01-19,101.5448
2009-01-20,101.8228
2009-01-21,102.1007
2009-01-22,101.8432
2009-01-23,102.1096
2009-01-24,101.7319
2009-01-25,101.3541
2009-01-26,100.9764
2009-01-27,101.1702
2009-01-28,100.5461
2009-01-29,101.3398
2009-01-30,102.1169
2009-01-31,102.2468
2009-02-01,102.3768
2009-02-02,102.5067
2009-02-03,101.8506
2009-02-04,101.9056
2009-02-05,101.9517
2009-02-06,101.7455
2009-02-07,101.4849
2009-02-08,101.2243
2009-02-09,100.9637
2009-02-10,101.7094
2009-02-11,102.24
2009-02-12,102.598
2009-02-13,102.2958
2009-02-14,102.6625
2009-02-15,103.0292
2009-02-16,103.3958
2009-02-17,103.7625
2009-02-18,104.0385
2009-02-19,103.7656
2009-02-20,104.0244
2009-02-21,103.9301
2009-02-22,103.8359
2009-02-23,103.7416
2009-02-24,103.9829
2009-02-25,104.3086
2009-02-26,104.1813
2009-02-27,104.9284
2009-02-28,105.2728
2009-03-01,105.6173
2009-03-02,105.9617
2009-03-03,106.0249
2009-03-04,105.4558
2009-03-05,105.8064
2009-03-06,105.3937
2009-03-07,105.6019
2009-03-08,105.81
2009-03-09,106.0182
2009-03-10,105.1153
2009-03-11,104.8499
2009-03-12,104.89
2009-03-13,104.1106
2009-03-14,103.8072
2009-03-15,103.5039
2009-03-16,103.2005
2009-03-17,103.2305
2009-03-18,103.0005
2009-03-19,100.3951
