date,AdrActCnt,BlkCnt,IssContNtv,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-10-02,88676,28783,1381856,19913.270422066244272,1381856,19913.270422066244272,0.0000017232253551403255,0.0144105249910745,-34.28378675956966,-9.415181160689515,2286160,163546,436077139.2810264,6284100.513645506456207198867,3268.21303391,47.096665601315467315836295,0.0001,0.00000144105249910745,534503168.843222,7702471.272423763678039822039,0.055625249010031144,0.05948535550222877,0.05135194600788469
2019-10-03,80592,28774,1381568,19799.0350887126997568,1381568,19799.0350887126997568,0.0000017361586595757114,0.0143308437143251,-33.29171972872735,-9.956969966708268,2240168,169139,445607741.40406567,6385934.899955059117693160129,3152.19165634,45.173565984608114754236134,0.0001,0.00000143308437143251,533158544.56241,7640611.777080932072027979491,0.05561358123071462,0.05948239654828866,0.051193049101518624
2019-10-04,81334,28784,1381888,20159.3249025359164928,1381888,20159.3249025359164928,0.0000017865305825112053,0.0145882480364081,-35.75281145958637,-6.041426734245562,2424077,186218,323440105.6999148,4718424.48687241039360346803,2276.46030728,33.209567607638439953480968,0.003552,0.0000518174570253215712,423917885.501951,6184219.260772110438991582203,0.05531819752357605,0.05946526010275615,0.051174354030665746
2019-10-05,91866,28787,1381984,20817.0508020683860224,1381984,20817.0508020683860224,0.0000018501401469405846,0.0150631633955736,-35.04681488307734,0.682574241997567,1919969,185952,334126438.43099993,5033001.13686721430390758391,2357.34414965,35.50906010577745466598924,0.007078,0.0001066170705138699408,438352859.316011,6602980.74479396083272100891,0.05514859673650691,0.05940116963167773,0.05108981351067981
2019-10-06,74557,28778,1381696,20040.8197850133659392,1381696,20040.8197850133659392,0.0000018466235361896016,0.0145045073482252,-38.59677193900266,2.004270833399385,1967208,184935,365339660.8679601,5299071.795657429819848279415,2707.42968758,39.269933798307167503483016,0.005598,0.0000811962321353646696,500698509.271711,7262385.206976935632320417317,0.05518799589960672,0.059061338594905054,0.05125033013856005
2019-10-07,93799,28780,1381760,22517.991247462924928,1381760,22517.991247462924928,0.000001981103145563491,0.0162966008912278,-39.35047305383461,5.573362034663234,2204050,200963,713767186.830826,11631978.97303639862302602816,4665.22979324,76.027388006297469123740072,0.05,0.00081483004456139,937538574.938424,15278691.97590196211590675699,0.055913446160326626,0.06099867556477653,0.053609098100152935
2019-10-08,89025,28770,1381440,23457.120253905294048,1381440,23457.120253905294048,0.0000020732547116890463,0.0169801947633667,-35.685734283248514,7.7688262665449495,2369261,203304,775293516.590308,13164634.91047890165069066994,4436.57717677,75.333944544262172106231559,0.096216,0.0016337664193520904072,901973886.345537,15315692.26161799839994563942,0.05530555496989423,0.06133110887604645,0.05233108478401866
2019-10-09,85473,28777,1381664,23447.4512465631147264,1381664,23447.4512465631147264,0.000001973690239559987,0.0169704437884776,-34.490296896533565,7.777958831642126,2527774,180865,1181516323.4124317,20050856.35163939270130105698,7146.60518194,121.281061518555501423614544,0.001037,0.0000175983502086512712,1292570746.232081,21935499.19156207520116326989,0.055304990465321315,0.061330960602862604,0.052130856495774015
2019-10-10,81540,28771,1381472,22498.1195618421659264,1381472,22498.1195618421659264,0.0000018985127398005485,0.0162856138682812,-35.28988058413525,4.654413959713798,2377169,159916,482482377.95651853,7857521.705649969717848347051,3615.67097461,58.883421367250418569540332,0.0001,0.00000162856138682812,578203639.575783,9416401.21136603612520735418,0.055377669889432955,0.06180030228326679,0.05230106278389789
2019-10-11,235468,28723,1379936,21840.1733345426127712,1379936,21840.1733345426127712,0.0000019091948434010823,0.0158269465645817,-23.75996418093537,6.651423477700807,2538221,193242,2273632977.5740047,35984667.64353455504543964933,12372.15236503,195.813394370192913287657951,0.00063,0.000009970976335686471,2390819467.324073,37839371.95489978712597758526,0.05536149469319621,0.06137856335465168,0.05239655737113579
2019-10-12,95206,28766,1381312,21670.3595173070780224,1381312,21670.3595173070780224,0.0000018847567020885956,0.0156882438705427,-30.63425662167149,5.693233841890785,2458788,178784,301764501.07891816,4734155.084398713804587208085,2166.44807633,33.987765754333145968124291,0.001,0.0000156882438705427,387326252.878127,6076468.712615547722268449523,0.0553374028347676,0.06141042650099988,0.052377357260263324
2019-10-13,80438,28779,1381728,22208.3539767149705088,1381728,22208.3539767149705088,0.000001938535542780122,0.0160728840818996,-31.051894618880954,3.491748827228262,2365789,174983,364115385.5454016,5852384.384307421080228572879,2691.09005401,43.253578492055663827397396,0.000331,0.0000053201246311087676,470895010.92001,7568640.925262167045184450996,0.05534500643287246,0.061016150466802845,0.04958031594301561
2019-10-14,102147,28773,1381536,23032.653574330780848,1381536,23032.653574330780848,0.0000019974881766031106,0.0166717722696555,-28.601959749920958,5.365441879936442,2378352,183003,492902428.1393313,8217557.033099166377189051367,3373.16513451,56.236640950492582648861305,0.002,0.000033343544539311,617299339.111453,10291474.00387498894248441444,0.05542242359684713,0.061280934230371696,0.049803016906343325
2019-10-15,99739,28776,1381632,21612.2828827972034304,1381632,21612.2828827972034304,0.000001916814893612242,0.0156425755069347,-36.147439813609125,0.9495831444012814,2066986,186964,879564268.9290341,13758650.48992423438706672277,5450.81470439,85.264780587730521175533333,0.005647,0.0000883336238876602509,1019106120.391045,15941444.43779620614947327976,0.05560567010578538,0.06231635582609783,0.05028274940972924
2019-10-16,88024,28784,1381888,20971.1614943262973952,1381888,20971.1614943262973952,0.0000018960525803753509,0.0151757316760304,-36.32755312099787,-3.241229823430768,2167139,170001,688471513.0716193,10448058.94896555060162032403,4773.15747895,72.43615714798292220756008,0.0001,0.00000151757316760304,811441544.578757,12314219.15131087650456192621,0.05563568940976522,0.06252030929012424,0.05042155690801215
2019-10-17,92713,28784,1381888,21260.89284222552064,1381888,21260.89284222552064,0.0000019059046541493819,0.01538539508428,-35.494195869345205,-8.398308794161565,2284768,171713,882506119.5562091,13577705.31366711746229180295,5867.82664295,90.278831187850144717826,0.0001,0.000001538539508428,1007582116.341241,15502048.93976496834043479148,0.055642762061848226,0.061203909989620955,0.05003780865772839
2019-10-18,103565,28779,1381728,21244.914162204887232,1381728,21244.914162204887232,0.0000019317717123262785,0.015375612394194,-35.58814899554699,-14.381119810612947,2424292,177691,905764020.1315213,13926676.49414920263026050733,5842.83493823,89.83716529347892240063662,0.000733,0.000011270323884944202,1038219183.00987,15963255.73817652591783269478,0.05556604763080611,0.05977206982845817,0.05000120161652512
2019-10-19,116181,28786,1381952,21362.4959220892483264,1381952,21362.4959220892483264,0.0000019448006624899557,0.0154582039912307,-35.0160066504791,-12.193866863236199,2124816,162959,576443522.0723708,8910781.553618204411933958744,4013.15145798,62.036113885159738839535986,0.0001,0.00000154582039912307,653979148.441302,10109343.08261698899518169037,0.05556550915285873,0.059735669828562266,0.049922256560901705
2019-10-20,91768,28784,1381888,21422.9173687460312576,1381888,21422.9173687460312576,0.0000018874108734031253,0.0155026437516977,-35.00944459666369,-10.710131982497646,2170342,156562,486847246.15773183,7547419.418678393438327543828,3617.80600181,56.085557608814234436772837,0.0001,0.00000155026437516977,566410943.255028,8780867.070345760338639061036,0.05552652809442514,0.05972162047989191,0.049604668265041126
2019-10-21,111072,28770,1381440,21466.88078993350224,1381440,21466.88078993350224,0.0000018923708346905264,0.0155394955915085,-34.96413197397529,-14.575547737335794,2006956,178974,928961567.3498182,14435594.18051332643054893875,5570.61268688,86.56451128977308009735848,0.000118,0.000001833660479798003,996994835.022534,15492796.84358941135225655254,0.055433197286346554,0.05897552435274575,0.049218980029026416
2019-10-22,87152,28781,1381792,20886.9292294681045568,1381792,20886.9292294681045568,0.0000018826056369101112,0.0151158272948954,-35.80175450993101,-10.499045080634643,2496264,207584,301118671.99580854,4551657.841156897841435337727,1791.76603298,27.084025907385535462050292,0.0001,0.00000151158272948954,371941960.190013,5622210.43395709676276895964,0.055443475431596584,0.05769481674531579,0.04915863274389302
2019-10-23,86435,28785,1381920,19747.39147861880136,1381920,19747.39147861880136,0.0000019160302728800186,0.0142898224778705,-38.3213345253101,-10.732211071784723,2906891,161501,654501083.9509386,9352704.301232729565106204251,4804.44173006,68.65461942783042108463723,0.0001,0.00000142898224778705,775922143.845768,11087789.69220472301394507704,0.05557039882121059,0.05777450824569926,0.04961306944250036
