date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-06-02,169,37956380.321933302859818,0,0,14.08670632,,0.00011452355546872354,1.00143448120753,,2.0027685549359218,37902010.6,37902010.6,37411195.1,13842,13942,2690622.615339999,2694482.262918259448467028992,194.28852189,194.5672251234899860378317,62.6798,62.769712995191738894,2708770.572257,2712656.25273841295047749521,,0.0038076011714081068,
2019-06-03,151,37844184.1019810274022378,0,0,11.1649566,,0.00012216142126986423,0.998474315818513,,0.8505302494708886,37902010.6,37902010.6,37411195.1,15288,15555,3394729.7729790006,3389550.487463943584139949718,218.99233471,218.65822156906604651048623,66.55008,66.44854559566730563104,3406425.766398,3401228.636490796840701726174,,0.0035688040258306116,
2019-06-04,141,37849482.3624343339382876,0,0,10.40468773,,0.0001305388266309212,0.998614104193046,,0.9074627177725253,37902010.6,37902010.6,37411195.1,14884,14918,3642782.1360539994,3637733.619565995226684217968,249.37821492,249.03260269759669855744632,84.66228,84.54494690114083450488,3720224.21018,3715068.36704618278159840828,,0.0035664371288930447,
2019-06-05,112,37981566.667317154622808,0,0,16.49379688,,0.00012849820856250817,1.00209899332668,,1.2753094102249622,37902010.6,37902010.6,37411195.1,11456,11474,2297955.460008,2302778.85318356466161941344,200.65879202,201.0799734853896500370936,82.891755,83.0657442405817935234,2302358.979599,2307191.61573280007526240132,,0.003611971097113686,
2019-06-06,105,38016749.717449025696042,0,0,20.38627557,,0.00012897829901753005,1.00302725675057,,1.7065156653191127,37902010.6,37902010.6,37411195.1,7883,7894,1859192.497633,1864820.75067206859799640081,237.81173516,238.5316523406278750190412,80.896416,81.14131022143291895712,1877285.837357,1882968.86358088843333704349,,0.003542688412053693,
2019-06-07,78,37995448.891239104210892,0,0,29.39983467,,0.00012493413441800154,1.00246525948782,,0.9983405730697132,37902010.6,37902010.6,37411195.1,5180,5189,1289191.2836789999,1292369.474722704399618763831,254.6968295,255.32472327544254786669,74.588557,74.77243714782705287574,1321621.848281,1324879.98908178493980743742,,0.0033694031318181037,
2019-06-08,69,38059814.285397264796708,0,0,41.38914859,,0.00012647205380612804,1.00416346475818,,0.883479494146692,37902010.6,37902010.6,37411195.1,4758,4763,915747.530183,919560.21275230729634614694,203.42389527,204.2708434889283441958086,66.690048,66.96770966456933259264,968908.013171,972942.02753775566176998878,,0.0033466247747233223,
2019-06-09,91,37952511.067005984240096,0,0,34.29890122,,0.00013116633104297455,1.00133239546416,,0.6203643170152858,37902010.6,37902010.6,37411195.1,5631,5645,1105050.285921,1106522.64990962985150809136,196.6560764,196.918100064194862421824,62.967996,63.05189427225764502336,1110123.551262,1111602.67484635868004376992,,0.0033938449411055286,
2019-06-10,94,38050916.448455548182446,0,0,27.8497431,,0.00012559623521619123,1.00392870578891,,-0.03038888782023261,37902010.6,37902010.6,37411195.1,7601,7611,1360946.507278,1366293.26569953992404668698,183.09081264,183.8101225755150041998224,71.435197,71.71584487198582626527,1393504.174979,1398978.84289811025087768289,,0.0029919209653019394,
2019-06-11,84,38050627.682411091064144,0,0,25.19625607,,0.00012671797561055487,1.00392108703624,,0.38023111607289867,37902010.6,37902010.6,37411195.1,5270,5279,1504271.5271760002,1510169.906760194961241075647,303.90343086,305.0950626630140051543664,72.316909,72.60046989438084778216,1604306.211487,1610596.83577502098347328888,,0.0028902619999995197,
2019-06-12,75,37996284.040164497632254,0,0,26.13188543,,0.00012305355389555125,1.00248729391059,,0.084938418062894,37902010.6,37902010.6,37411195.1,6534,6563,1450412.3973730002,1454019.999296830306710338852,221.2995799,221.850016997501395161141,81.816984,82.02048688608603946056,1452389.142851,1456001.66152182032193169209,,0.0028914419626181642,
2019-06-13,81,37981593.02181201288593,0,0,21.40861423,,0.00012172073251906501,1.00209968865905,,-0.03859306466168433,37902010.6,37902010.6,37411195.1,5127,5141,1770409.340469,1774126.64888305894950809445,346.08607184,346.812744840097611566152,81.527471,81.69865330625972776255,1779228.495349,1782964.32124254289097175845,,0.0028881544270856108,
2019-06-14,84,38100681.558787983294642,0,0,24.40359513,,0.0001155715271616811,1.00524169973157,,0.19622872335525082,37902010.6,37902010.6,37411195.1,5832,5844,1553132.2495730002,1561273.302468679705395459556,267.3424664,268.743795334366141744248,83.042961,83.47824726638247797877,1562349.373649,1570538.73994147452093139893,,0.0029417551918753345,
2019-06-15,66,38076215.327219756931718,0,0,28.45612258,,0.00011350619285082025,1.00459618696903,,0.3990917029457637,37902010.6,37902010.6,37411195.1,3756,3763,1331945.7170999995,1338067.588648389836543319515,370.57010114,372.2733106099717971476942,76.73481,77.0874975337929929343,1394455.290594,1400864.46782952308472830382,,0.002899902924073902,0.005126973668657898
2019-06-16,132,37945758.759215512272926,0,0,7.31778376,,0.0001109986535879543,1.00115424375971,,0.13718173313665014,37902010.6,37902010.6,37411195.1,6714,6728,5179438.452375,5185416.78688745586377881125,773.23651245,774.1290158692753362233895,73.200996,73.28548779283755667116,5202335.255751,5208340.01875586991863959221,,0.002967912453402919,0.005145188942401892
