Date,Miner,Hashrate
2021-02-28,RG7p2sUXnnUzkHJB87FH2iievRtUkgs379,1.67 GH/s
2021-02-28,RXAdjXHkD6sSHvENss9vhvJxNwTbd16TXt,1.65 GH/s
2021-02-28,RSmPT1PHN2N3WVekef1CtWbVYK3LTe2N6s,1.63 GH/s
2021-02-28,RUSYdY5EwyTCSxfFLgEMoSBsyCAEHNNfJ6,1.63 GH/s
2021-02-28,RKCCHh8MG8M7V9HD3G7P2zzSc7XSh3EzcM,1.61 GH/s
2021-02-28,REU6vcYroRtkyMYBHihG7gKEjcfCG1fFA4,1.60 GH/s
2021-02-28,RAiSEpVNyLLt6FswxmGUz4dhcA4CHCN8UL,1.60 GH/s
2021-02-28,RLLXphcoiqRt7jBmWy22HAjNNJj2DYHuEH,1.58 GH/s
2021-02-28,R9magyq6qn5V6RRvq7NmBxp6NUWdhqf25j,1.58 GH/s
2021-02-28,RSW7iHivwGvotXSzX3zeSt2CuSkStkudib,1.57 GH/s
2021-02-28,RAaVHW7VGtCGaeWntAtzcaKDTxPkFvX4qF,1.57 GH/s
2021-02-28,RUo912LATLZumwG1UsPrEXA2knArQoAv3d,1.56 GH/s
2021-02-28,RQEum8d9Pb2AtpDMi8Zv14onPU9yBcWqUS,1.54 GH/s
2021-02-28,RFgvkxzPQ3qPGikzzeicVQvcj3U8ovyWtS,1.52 GH/s
2021-02-28,RFqs1JfNYFDf2qvoZdGZN1jcm8QztZXGvK,1.51 GH/s
2021-02-28,RJoULkz8SQqfBKFHm1yAi5RtdNcPWWWjFu,1.51 GH/s
2021-02-28,RQQwWrdpZqrqhgQev6X3Sas8eFMDJ8Qd6M,1.50 GH/s
2021-02-28,RTWVENnFi7SCf6pB1ncf1f7AfYB75VRefj,1.49 GH/s
2021-02-28,RUSpv3mc7SgK87TYR7UefZ8NwYZ9nfEFms,1.48 GH/s
2021-02-28,RWVicXPwwPuxMSz2aHZ7EKcrjwfDDbYhpG,1.46 GH/s
2021-02-28,RNprU3obAFkGKXL7DYGKA3LQt9ThBbBFpL,1.45 GH/s
2021-02-28,RAuhXGvoA8Woq5cyxssLhz5QzengszTQn8,1.44 GH/s
2021-02-28,R9iVtriZoeQfRzEjBZ71T2DFXqpFhBtHFq,1.43 GH/s
2021-02-28,RVVz1Mzs9p7eC7uez2avo3sKYDtKfh9Gcr,1.43 GH/s
2021-02-28,RAqGMNPgr2Pumhc7sjTzDbVHT4ykY6RGxK,1.42 GH/s
2021-02-28,RGQyd6aqW7ESqVfAwB3tqokkqitwCTcWiB,1.40 GH/s
2021-02-28,RXNgAFUVqUYw8E4pgWsKsiCUBizNaanPyg,1.40 GH/s
2021-02-28,RLyZ4armPfkurBFEu9ZjK5pwaU1oiWUh8F,1.40 GH/s
2021-02-28,RXM8XtB3Wizu5uzgjdtnzKWYjadA9rBuaZ,1.38 GH/s
2021-02-28,RQhaLb4xvYDGXyUM1GC9t6m7wDPCrVeA67,1.38 GH/s
2021-02-28,RMkBwB2RkjHGW8uZ7ucLBr7jbbPJ6bSLXH,1.36 GH/s
2021-02-28,RFCsqLcgEkdrqgfT76BsTBPzPp97Ke4Kou,1.36 GH/s
2021-02-28,RUAfUytnBw1UxtyBuHUYmrLH2Ta2iC3kXZ,1.35 GH/s
2021-02-28,RAriAmwECJP2M5aAwJPn9g9ZTwdHEFHbTm,1.35 GH/s
2021-02-28,RGUx9Q4Yw9oGghYzVKyuWpA12kAQmh3dzJ,1.34 GH/s
2021-02-28,RQLiJxEyhvcFcsjEbj4dwXWcmQgB6XHiig,1.33 GH/s
2021-02-28,RGppwCSSvBzqNFz6ecmt9Z4zNgFXWmpCWZ,1.33 GH/s
2021-02-28,RXD8Mse1QGDkM3hbvdhw8xFFji4DZSz6jy,1.32 GH/s
2021-02-28,RWA2WYFbycjk6tDPVSbiVERPaEEpWpxAnY,1.32 GH/s
2021-02-28,RKw84PJBnzq4QWx2DwjJonY9s3NYoPxT1P,1.32 GH/s
2021-02-28,RRS7bLhVpG3yaZ5ewQjs7GgNpP6uXoF151,1.32 GH/s
2021-02-28,RHikX9J59rFYYjQn4xKWhNZNEKsRBkTzBM,1.32 GH/s
2021-02-28,RKtHH8GcCHGDHhKm8xm7ooBDzgi5AWq2m6,1.32 GH/s
2021-02-28,RT1jMZUxNNkt7GnL7gnZM2PRGaRps7h2mx,1.31 GH/s
2021-02-28,RTye1Af6hW4Ac6UfiT334p627AG9UXZYNh,1.30 GH/s
2021-02-28,RSsu2kd4zEAHpY4u8k7jgGyAQwmpXaFN1R,1.29 GH/s
2021-02-28,RUduMqbEJQayed6uv7hyxZiuEnu57To4wq,1.28 GH/s
2021-02-28,RTgqiSJN3jAKgprpkmLGr8upe7hHaN1fLy,1.28 GH/s
2021-02-28,rFEXFWnoUPWxJhc1YGacoPEncLSy2o55Jc,1.28 GH/s
2021-02-28,RQ4PdGDijUrTDDXUhgJaFTbCgEd4yvQVx6,1.27 GH/s
2021-02-28,RRgtANUGQJMTkzJzrzaZ2x6NEFq1MVUP4X,1.27 GH/s
2021-02-28,RSdkD9oAYjZpTYhjYneAMSEoe4d2KrZL5F,1.26 GH/s
2021-02-28,RWgn3KMEQbj3ZhAvpwKygtJKU8LBW1ED8W,1.25 GH/s
2021-02-28,RLWNEnzK32hZ5K5Y6NrBK9JHw2wq5ynSCW,1.25 GH/s
2021-02-28,RV1cgfq5usxYgrv8eiUTh6YKCMp4iXNMst,1.24 GH/s
2021-02-28,RWfWgjkYJYDKqF8KhPdAAj94kJMxqhtZ7N,1.24 GH/s
2021-02-28,RUNY5qf7BmDbwQ83owZa3K1NRxrwjbBzXR,1.24 GH/s
2021-02-28,RJXi5bADQiN2gN7hk6rqs8roi5nymAdigc,1.22 GH/s
2021-02-28,RYZhcEyQLWHahcfTQdhRHbiroPJyxghFvi,1.22 GH/s
2021-02-28,RV5vjfwJZv4PgdyEVs4drDj64x75fmMT3K,1.22 GH/s
2021-02-28,RGRxoCHs1qPZGAriPHjm9fhWnP3H3V6KDw,1.21 GH/s
2021-02-28,RMBxwTZTRvdoEumaLhfVZ19h5cAsM6FAQu,1.20 GH/s
2021-02-28,RLJzuixziJ3eRSPiE9TrRRkNzLAv55ihvc,1.20 GH/s
2021-02-28,RWNEuByxXpXFy6rBGcDPosyNZhAqmrGYQx,1.20 GH/s
2021-02-28,RMJMp2ecKJomGZbctWvmJpTqou8sWxTFnN,1.16 GH/s
2021-02-28,RPmbVdrvqqQchnFB3JQGWNRNTSrFEex3o5,1.16 GH/s
2021-02-28,RVFesxsU5xbLh4QXZg1NnzUPM3kAewEYy9,1.15 GH/s
2021-02-28,RUZajAvMDXSRkf3dsUhq6tvCLrNMQoePDv,1.15 GH/s
2021-02-28,RTbTUfr9gSEegLZscRqWqTwCSWTHEUjq4g,1.15 GH/s
2021-02-28,RERiR99zY8hELcPUVQa5ZJNVJYht6bEJus,1.14 GH/s
2021-02-28,RRuiqwxN1yDYkY8dq3L9AnMckYxCMg7m6X,1.14 GH/s
2021-02-28,RKB6PD6ZPFpTkAH8i1awfoxAVPi9xv2d7W,1.14 GH/s
2021-02-28,REz3EMTHbWSvLzEqyUGrQ6gRAfEBcWPqid,1.14 GH/s
2021-02-28,RAX979Ea69H6SBWowj2HehPdDY1yCa7R26,1.14 GH/s
2021-02-28,RULo2nsuh9sKLxxW7spFhNUJHsur2WBxuH,1.12 GH/s
2021-02-28,RKMyGPpeJLtLZaGHRf6UFaEmGH8Rp9htPZ,1.12 GH/s
2021-02-28,REJbA2Zk1ECgJZ1PYLFy41NXCvyTjJKSTs,1.11 GH/s
2021-02-28,RKviRcm9YBDGjbkXNcAqRF3Bjg4Sk7jsqW,1.10 GH/s
2021-02-28,RKKxMj2fDsfFxFLgGYbWLyQdD9KDf2ERNq,1.09 GH/s
2021-02-28,RFmYVw7ese6hf3rryyjz9RiDncTpzi751Z,1.09 GH/s
2021-02-28,RV5eyz2bPqMZsWQCNYvtoyaa4zv7RaDaE1,1.09 GH/s
2021-02-28,RNq1Xj9PXLGNQUqKQTPtBxgFtsSDEbwKme,1.08 GH/s
2021-02-28,RKRsqcKFEGjZMzTKGLJ4omoiVWkYRyKskp,1.08 GH/s
2021-02-28,RDZBtJ4PEtDBZhvFUJuXXVKtyvvvTDbY2n,1.08 GH/s
2021-02-28,RDaoPLHx3LdbwbuhApzoQ5bNyTz1RRBpwR,1.08 GH/s
2021-02-28,RNzdpZxTzTbKx9A4eVBmXFTvvmTiQuC5YT,1.07 GH/s
2021-02-28,RQcBHWqx6nR4uqWw7HHzxzAFzZEEV14sgz,1.07 GH/s
2021-02-28,RRVyeLYJc3TbHLbqy9xN2MuK6iw7A13TRQ,1.07 GH/s
2021-02-28,RNY5BV1PJcFnhkLVhEttWfeJXq4mhp2i4V,1.06 GH/s
2021-02-28,RERGkQkmVeKWHqYCufcMxGH1MeowTkm4ew,1.06 GH/s
2021-02-28,RLvBaLF4GU67yWch5Yxow8SkSnsiJbUcpA,1.06 GH/s
2021-02-28,RCKQGdG6hApZbqM538X5r9gMJULJWpd6eu,1.06 GH/s
2021-02-28,RRaYqeYpQWepwrC9SJFNd3vGtXJJ4iVAPh,1.06 GH/s
2021-02-28,RWKrfUyFc4DAkrQnAX5pYxuCxtEPDjKFSZ,1.05 GH/s
2021-02-28,RM9ftawN78nAxfcGYsyZJqLJsPVANJn2jz,1.05 GH/s
2021-02-28,RJ98h59dvAEX2HezeLXu5oichND7azGUzb,1.05 GH/s
2021-02-28,RA1fG7KKYjB28cdDBuMe1gqGgjjXEqocKf,1.05 GH/s
2021-02-28,RTKHDASP8dTcqvouMjogBX4wsri6yufWez,1.05 GH/s
2021-02-28,RBrD3HzAjC8NEZaNdfWyhCWLnBHc1PKsmy,1.05 GH/s
2021-02-28,R9bvBsQDBxutpujwFLSLsZJwmD1pKkbwoX,1.04 GH/s
2021-02-28,RAKpjNQCFCbbXb3guJA7gunMVN64mWTmPw,1.02 GH/s
2021-02-28,RWUrPJQpmdhndnFrhmgwc5BVjBxRLsgKx2,1.02 GH/s
2021-02-28,RNm3CUtZpqW58m4QzfDEEDJcS3qimxKRxi,1.01 GH/s
2021-02-28,RMwPVtYXHP9pMT2vpQDms6RqgRuaAKo9GD,1.01 GH/s
2021-02-28,RUh5pRDCYAo212eSFVYcNpjuoNavSETsXX,1.01 GH/s
2021-02-28,RF1FbV1etpgx76CzUenpH9NpE13QPGhBSF,999.79 MH/s
2021-02-28,REh1uvdbZUhxu3hKXHFQ9VPyuWftRYgd6H,995.02 MH/s
2021-02-28,RGYWPK9cPwQximCvDsJpUYEaiy1MYfqpET,986.02 MH/s
2021-02-28,RD3Ga8dsGmamuQrH9kyHzHVVdiXKTgmPUh,985.82 MH/s
2021-02-28,RVEZHp1ajKkSrwemXx1uWayi1yiYqYwv46,978.34 MH/s
2021-02-28,RLcmuZgyHGE9eud175qn5n8yMiYcvFnooj,978.31 MH/s
2021-02-28,RN3GLubNMTBzScBSBBcVCbJ1Mz4G1NFRb8,975.93 MH/s
2021-02-28,RLP2duLB5kZNeVWs65nd4BAqi18rYbc6nM,972.23 MH/s
2021-02-28,RPFuAGPg8NfvNKr6oCxa1GgfhYAT8AThma,966.38 MH/s
2021-02-28,RP1RpzQ3oKNYd5KQzDiFrZGVC6wTZvAYS9,966.38 MH/s
2021-02-28,RE9UFvMr7EP3tgkJXwnBiFg4AqMTQ8ikyN,964.00 MH/s
2021-02-28,RLTBdj5vNg7YC6ZfBZx4UpkYAVRhn7EP9f,959.22 MH/s
2021-02-28,RSoN4BwweaKfiMN63by7vt4xmjyVy2CyvU,958.18 MH/s
2021-02-28,RJyaK4A9F9P2jySbwjpLc8yiYShP4oVdUh,953.92 MH/s
2021-02-28,RPqGRSZuio9qU28BVVJuGBJwyocsHkWHPx,947.29 MH/s
2021-02-28,RLaZUjaR4ECUBwbNEuqqugGJ8LWRcMzMxo,942.52 MH/s
2021-02-28,RUTD7bbzNXgVzKWW4c6FLi8cEayVKEt8nC,941.70 MH/s
2021-02-28,RTg6UG8sMqpw3LmABws7q8QYCwUWwJBVhu,941.70 MH/s
2021-02-28,RX7hLn8kAkiELowFjhL9v1ttZApFgJ6Y1k,935.36 MH/s
2021-02-28,RKE8fvMqA2xniVNoMcm5t9rPDt2MUwgzDB,933.50 MH/s
2021-02-28,RTKC3bNBJP79HQC5tJ6idcqKYCTTsaUKam,930.59 MH/s
2021-02-28,RKAQKS634PaG7bbrmqRufK9FXi7PMGhbUc,930.59 MH/s
2021-02-28,RA7AxzCGNJxput6tnxDYPnLWH9JRmxzsJG,923.95 MH/s
2021-02-28,RAzoBQemuyn5q2kr1WJpFBgaQ84gAUkFzj,923.61 MH/s
2021-02-28,RDXQGsomXv6hSJw4o7anKSEPwa3WBaf3wU,923.43 MH/s
2021-02-28,REdAXxgXvhiokhvEh4RHNGodbvgBMY8tMf,920.19 MH/s
2021-02-28,RCcmDunQb7hHBMJKP9XomKuiKrXek1Hg6m,916.40 MH/s
2021-02-28,RRNdaQ1ohBKVqoWYtDxjUsAGWUGx41Ji3L,916.27 MH/s
2021-02-28,RNLZeHtZgzuG2vX4hDbJ7f5tDe9ssVrcv3,906.73 MH/s
2021-02-28,RR67zT3rjwZUkmubtgxmnzETYz5rikk5ww,904.47 MH/s
2021-02-28,RFnU4e62pJRcnGCUvJ88AFhGPrTPDwEb2d,904.34 MH/s
2021-02-28,RRwctNNVeK1gbNpStA8Ksbq7cTPxnn3wxU,901.07 MH/s
2021-02-28,RUWEnraYoSQqgsBWHw7fdCo6vSHukoEQ5q,900.30 MH/s
2021-02-28,RR6kp7TZndMZdn5rGBstaNftxktWcMKyeJ,899.57 MH/s
2021-02-28,RBwDTLc7ZxETTinUQk889mvfzwb19NPj6P,897.29 MH/s
2021-02-28,RCsxF9Y7RjBZ2TS6Ko6Wu8FG5mnhqaU2ZQ,895.00 MH/s
2021-02-28,rN4iZHsJMHqFuYgsXyCtXzsVPbE1W4Fspt,891.11 MH/s
2021-02-28,RViu1qHZPN98kVrFCDUYbFqVBWe6iYVD3m,887.64 MH/s
2021-02-28,RCKNEdN6d244Cw3Y9kWaZqg4ncGdvSNhPQ,881.46 MH/s
2021-02-28,RGrH7PQQaNfLwgHhvHNqXwaXCRHwed27YM,880.48 MH/s
2021-02-28,RUkLB6JxYKByPa3KEVimczhaLVaxxM2eiP,878.64 MH/s
2021-02-28,RTKCYoY6Y1pCZzor39u7EmYnuaLh1yc8aD,869.03 MH/s
2021-02-28,RUP2F3h3mvq56ivUgo7tYA65x7o1oxwz5s,868.55 MH/s
2021-02-28,RCYQqJK1UAo8zHdLMfS3pBseiVASt6tRqp,866.16 MH/s
2021-02-28,RFKt1n9VXqmn42jG11683WmUozDWvT7UFx,854.23 MH/s
2021-02-28,RMDYvoF743zLgaAyHzzVzAnQXyPbKC5QF1,849.46 MH/s
