account,day_of_week,hour_of_day,roas,conv_rate
Account 3,Tuesday,20,0.887497637,0.016923077
Account 1,Sunday,21,0.154307581,0.017054264
Account 3,Wednesday,17,0.305892486,0.010903427
Account 1,Wednesday,19,0.682026534,0.031298905
Account 3,Saturday,19,0.493782201,0.023584906
Account 1,Tuesday,18,0.158094374,0.009508716
Account 2,Saturday,1,0.461602044,0.022222222
Account 1,Thursday,18,0.099088731,0.00952381
Account 3,Tuesday,8,0.582033647,0.017515924
Account 1,Wednesday,18,0.649479856,0.033546326
Account 3,Tuesday,17,0.881941216,0.033653846
Account 1,Wednesday,16,0.343291174,0.009819967
Account 1,Tuesday,8,0.362499369,0.022988506
Account 3,Tuesday,10,0.444874122,0.016447368
Account 3,Wednesday,13,0.490196339,0.021416804
Account 1,Tuesday,10,0.209742918,0.016611296
Account 3,Wednesday,14,0.607631245,0.038269551
Account 3,Wednesday,11,0.251141966,0.023372287
Account 3,Wednesday,20,0.645655181,0.023529412
Account 3,Thursday,8,0.594378785,0.035353535
Account 3,Thursday,17,0.463809386,0.015177066
Account 1,Wednesday,17,0.629578611,0.025380711
Account 1,Thursday,20,0.470713482,0.018771331
Account 3,Thursday,14,0.442293926,0.015384615
Account 3,Wednesday,12,0.659936885,0.036144578
Account 3,Thursday,13,0.461991347,0.022452504
Account 3,Wednesday,16,0.326590838,0.022452504
Account 3,Saturday,20,0.032430384,0.012131716
Account 3,Tuesday,12,0.40671261,0.022727273
Account 1,Tuesday,17,0.25842206,0.010507881
Account 3,Thursday,20,0.181087932,0.014059754
Account 2,Saturday,2,0.490443053,0.01590106
Account 1,Sunday,6,1.044440612,0.033687943
Account 3,Saturday,8,0.22185112,0.014209591
Account 3,Thursday,12,0.33737399,0.017793594
Account 1,Thursday,8,0.323587662,0.039145907
Account 3,Wednesday,15,0.02352783,0.005357143
Account 3,Saturday,17,0.687876339,0.025179856
Account 1,Wednesday,15,0.558602058,0.027027027
Account 3,Tuesday,15,2.071141574,0.034296029
Account 3,Sunday,6,0.594610562,0.03074141
Account 3,Saturday,12,0.784943219,0.028985507
Account 3,Saturday,11,0.419771075,0.016333938
Account 3,Thursday,11,0.137444172,0.014519056
Account 1,Thursday,11,0.171198713,0.023593466
Account 1,Tuesday,20,0.103319411,0.012727273
Account 3,Saturday,13,0.497291176,0.018248175
Account 1,Thursday,17,1.401297895,0.029250457
Account 3,Saturday,10,1.254845443,0.020183486
Account 3,Tuesday,11,1.669167793,0.011090573
Account 3,Thursday,10,0.407366101,0.022263451
Account 1,Wednesday,20,0.104834889,0.014925373
Account 3,Thursday,15,0.069238196,0.005617978
Account 3,Tuesday,16,0.253637827,0.016885553
Account 3,Saturday,9,1.131015027,0.039473684
Account 3,Saturday,16,0.63167227,0.009398496
Account 3,Thursday,16,1.207378686,0.043233083
Account 3,Saturday,18,1.091135953,0.030131827
Account 1,Wednesday,11,0.470872669,0.039622642
Account 3,Friday,11,0.380516384,0.017013233
Account 3,Wednesday,10,0.210768076,0.011342155
Account 3,Tuesday,14,0.790640551,0.026515152
Account 1,Thursday,9,1.132048936,0.024667932
Account 1,Thursday,13,0.61899027,0.028462998
Account 3,Saturday,14,0.213580626,0.015238095
Account 1,Wednesday,12,0.545128233,0.028571429
Account 1,Wednesday,14,0.277060679,0.024904215
Account 1,Thursday,12,0.608875879,0.034482759
Account 1,Thursday,10,0.501959032,0.024904215
Account 3,Thursday,9,0.930036961,0.017374517
Account 3,Tuesday,7,0.341198824,0.017408124
Account 1,Saturday,18,0.265627284,0.013565891
Account 1,Thursday,16,0.037149627,0.005847953
Account 3,Friday,9,0.93039052,0.027559055
